"","event.id","predicted","NOISE","X045","X085","original","correct"
"1","9","X085",0.4071,0.0305,0.5624,"X085",TRUE
"2","10","X085",0.0594,0.0772,0.8634,"X085",TRUE
"3","11","X085",0.3209,0.0494,0.6297,"X085",TRUE
"4","12","X085",0.419,0.0253,0.5557,"X085",TRUE
"5","13","X085",0.0046,0.0066,0.9888,"X085",TRUE
"6","17","X085",0.1067,0.0087,0.8846,"X085",TRUE
"7","36","X085",0.214,0.0523,0.7337,"X085",TRUE
"8","66","NOISE",0.8256,0.0095,0.1649,"NOISE",TRUE
"9","67","X085",0.4188,0.0253,0.5559,"X085",TRUE
"10","68","X085",0.3742,0.0396,0.5862,"X085",TRUE
"11","70","NOISE",0.9987,0,0.0013,"NOISE",TRUE
"12","71","X085",0.3962,0.036,0.5678,"X085",TRUE
"13","72","X085",0.4715,0.0201,0.5084,"X085",TRUE
"14","73","NOISE",0.7948,0.0822,0.123,"NOISE",TRUE
"15","74","NOISE",0.9689,0.0094,0.0217,"NOISE",TRUE
"16","120","X085",0.4614,0.0367,0.5019,"X085",TRUE
"17","122","X085",0.0438,0.0265,0.9297,"X085",TRUE
"18","133","NOISE",0.8611,0.0076,0.1313,"NOISE",TRUE
"19","175","X085",0.0296,0.0341,0.9363,"X085",TRUE
"20","176","X085",0.0575,0.0716,0.8709,"X085",TRUE
"21","188","NOISE",0.5379,0.1167,0.3454,"NOISE",TRUE
"22","193","X085",0.0069,0.0438,0.9493,"X085",TRUE
"23","201","NOISE",0.9128,0.0064,0.0808,"NOISE",TRUE
"24","215","X085",0.0835,0.0743,0.8422,"X085",TRUE
"25","216","X085",0.4414,0.0219,0.5367,"X085",TRUE
"26","237","NOISE",0.8997,0.0236,0.0767,"NOISE",TRUE
"27","246","X085",0.0287,0.0129,0.9584,"X085",TRUE
"28","247","X085",0.1606,0.0719,0.7675,"X085",TRUE
"29","259","NOISE",0.5601,0.1476,0.2923,"NOISE",TRUE
"30","266","NOISE",0.8269,0.0108,0.1623,"NOISE",TRUE
