"","event.id","predicted","X045","X085","original","correct"
"1","9","X085",0,1,"X085",TRUE
"2","10","X085",0.0117,0.9883,"X085",TRUE
"3","11","X085",0.1518,0.8482,"X085",TRUE
"4","12","X085",0.0117,0.9883,"X085",TRUE
"5","13","X085",0.008,0.992,"X085",TRUE
"6","17","X085",6e-04,0.9994,"X085",TRUE
"7","36","X085",4e-04,0.9996,"X085",TRUE
"8","67","X085",0.0117,0.9883,"X085",TRUE
"9","68","X085",0.1518,0.8482,"X085",TRUE
"10","71","X085",0.0053,0.9947,"X085",TRUE
"11","72","X085",0.008,0.992,"X085",TRUE
"12","120","X085",0.008,0.992,"X085",TRUE
"13","122","X085",0.0117,0.9883,"X085",TRUE
"14","175","X085",2e-04,0.9998,"X085",TRUE
"15","176","X085",2e-04,0.9998,"X085",TRUE
"16","193","X085",0.0013,0.9987,"X085",TRUE
"17","215","X085",1e-04,0.9999,"X085",TRUE
"18","216","X085",0.0117,0.9883,"X085",TRUE
"19","246","X085",3e-04,0.9997,"X085",TRUE
"20","247","X085",3e-04,0.9997,"X085",TRUE
"21","267","X085",6e-04,0.9994,"X085",TRUE
"22","290","X085",2e-04,0.9998,"X085",TRUE
"23","291","X085",0.014,0.986,"X085",TRUE
"24","292","X085",0.1477,0.8523,"X085",TRUE
"25","310","X085",1e-04,0.9999,"X085",TRUE
"26","313","X085",0.0117,0.9883,"X085",TRUE
"27","322","X085",4e-04,0.9996,"X085",TRUE
"28","325","X085",0.0117,0.9883,"X085",TRUE
"29","393","X085",9e-04,0.9991,"X085",TRUE
"30","394","X085",0.0117,0.9883,"X085",TRUE
"31","433","X085",0.1399,0.8601,"X085",TRUE
"32","461","X085",0.1398,0.8602,"X085",TRUE
"33","462","X085",2e-04,0.9998,"X085",TRUE
"34","463","X085",0.0117,0.9883,"X085",TRUE
"35","464","X085",0.0086,0.9914,"X085",TRUE
"36","468","X085",0.0117,0.9883,"X085",TRUE
"37","469","X085",7e-04,0.9993,"X085",TRUE
"38","506","X085",3e-04,0.9997,"X085",TRUE
"39","573","X085",1e-04,0.9999,"X085",TRUE
"40","585","X085",8e-04,0.9992,"X085",TRUE
"41","586","X085",0.0117,0.9883,"X085",TRUE
"42","588","X085",0.1461,0.8539,"X085",TRUE
"43","599","X085",0.1518,0.8482,"X085",TRUE
"44","645","X085",0.1472,0.8528,"X085",TRUE
"45","646","X085",0.008,0.992,"X085",TRUE
"46","648","X085",0,1,"X085",TRUE
