"","event.id","predicted","NOISE","X045","X085","original","correct"
"1","3290","X085",0.0048,5e-04,0.9947,"X085",TRUE
"2","3292","X085",0.3144,0.0353,0.6503,"X085",TRUE
"3","3293","X085",0.0261,0.0027,0.9712,"X085",TRUE
"4","3298","X085",0.2871,0.0436,0.6693,"X085",TRUE
"5","3300","X085",0.3493,0.0283,0.6224,"X085",TRUE
"6","3311","NOISE",0.4829,0.0497,0.4674,"NOISE",TRUE
"7","3312","NOISE",0.4905,0.0343,0.4752,"NOISE",TRUE
"8","3313","NOISE",0.5255,0.0334,0.4411,"NOISE",TRUE
"9","3330","X085",0.1271,0.0465,0.8264,"X085",TRUE
"10","3335","X085",0.2691,0.0535,0.6774,"X085",TRUE
"11","3337","NOISE",0.939,0.0128,0.0482,"NOISE",TRUE
"12","3380","NOISE",0.8337,0.0024,0.1639,"NOISE",TRUE
"13","3381","X085",0.0509,0.008,0.9411,"X085",TRUE
"14","3437","X085",0.1604,0.0655,0.7741,"X085",TRUE
"15","3459","X085",0.3554,0.029,0.6156,"X085",TRUE
"16","3460","X085",0.1745,0.0701,0.7554,"X085",TRUE
"17","3462","X085",0.2703,0.0577,0.672,"X085",TRUE
"18","3463","X085",0.0234,0.1009,0.8757,"X085",TRUE
"19","3480","NOISE",0.8613,0.003,0.1357,"NOISE",TRUE
"20","3504","X085",0.0302,0.0703,0.8995,"X085",TRUE
"21","3562","X085",0.0084,0.0105,0.9811,"NOISE",FALSE
"22","3566","NOISE",0.8177,0.002,0.1803,"NOISE",TRUE
"23","3595","X085",0.4543,0.0533,0.4924,"NOISE",FALSE
"24","3597","X085",0.3338,0.0458,0.6204,"X085",TRUE
"25","3600","X085",0.0188,0.0241,0.9571,"X085",TRUE
"26","3614","NOISE",0.9818,0.005,0.0132,"NOISE",TRUE
"27","3615","NOISE",0.6616,0.1354,0.203,"NOISE",TRUE
"28","3644","X085",0.0443,0.0892,0.8665,"X085",TRUE
"29","3685","X085",0.1011,0.004,0.8949,"X085",TRUE
"30","3686","X085",0.0381,3e-04,0.9616,"X085",TRUE
"31","3688","X085",0.3714,0.0349,0.5937,"X085",TRUE
"32","3694","X085",0.3314,0.0427,0.6259,"X085",TRUE
"33","3727","X085",0.2007,0.0704,0.7289,"NOISE",FALSE
"34","3742","X085",0.1725,0.0715,0.756,"X085",TRUE
"35","3743","NOISE",0.6266,0.0543,0.3191,"NOISE",TRUE
"36","3754","NOISE",0.9394,0.022,0.0386,"NOISE",TRUE
"37","3787","NOISE",0.7339,0.0181,0.248,"X085",FALSE
"38","3804","X085",0.1022,0.0953,0.8025,"X085",TRUE
"39","3813","NOISE",1,0,0,"NOISE",TRUE
"40","3814","NOISE",0.9987,7e-04,6e-04,"NOISE",TRUE
"41","3815","NOISE",0.9375,0.022,0.0405,"NOISE",TRUE
"42","3853","X085",0.0066,0.0146,0.9788,"X085",TRUE
"43","3855","X085",0.0251,0.0932,0.8817,"X085",TRUE
"44","3856","X085",0.1012,0.0719,0.8269,"X085",TRUE
"45","3866","X085",0.0193,0.0335,0.9472,"X085",TRUE
"46","3896","X085",0.1154,0.0702,0.8144,"X085",TRUE
"47","3897","NOISE",0.9176,0.0199,0.0625,"X085",FALSE
"48","3904","X085",0.1183,0.0481,0.8336,"X085",TRUE
"49","3913","NOISE",0.9626,0.0102,0.0272,"NOISE",TRUE
"50","3914","NOISE",0.9291,0.0185,0.0524,"NOISE",TRUE
"51","3933","NOISE",0.9315,0.0221,0.0464,"NOISE",TRUE
"52","3937","NOISE",0.9709,0.0084,0.0207,"NOISE",TRUE
"53","3951","X085",0.0222,0.0552,0.9226,"X085",TRUE
"54","3952","NOISE",0.915,0.0233,0.0617,"X085",FALSE
"55","3971","NOISE",0.924,0.0222,0.0538,"NOISE",TRUE
"56","3997","NOISE",0.9846,0.0046,0.0108,"NOISE",TRUE
"57","3998","NOISE",0.9981,5e-04,0.0014,"NOISE",TRUE
"58","4009","NOISE",0.9899,0.0029,0.0072,"NOISE",TRUE
"59","4013","NOISE",0.938,0.0234,0.0386,"NOISE",TRUE
"60","4018","X085",0.4293,0.0205,0.5502,"NOISE",FALSE
"61","4029","X085",0.0495,6e-04,0.9499,"X085",TRUE
"62","4033","X085",0.1423,0.0613,0.7964,"X085",TRUE
"63","4042","X085",0.1613,0.078,0.7607,"X085",TRUE
"64","4064","X085",0.3133,0.0526,0.6341,"X085",TRUE
"65","4073","X085",0.0793,0.0936,0.8271,"X085",TRUE
"66","4094","X085",0.1109,0.0755,0.8136,"X085",TRUE
"67","4104","NOISE",0.9768,0.007,0.0162,"NOISE",TRUE
"68","4105","NOISE",0.9529,0.0112,0.0359,"NOISE",TRUE
"69","4106","NOISE",0.9438,0.0128,0.0434,"NOISE",TRUE
"70","4107","NOISE",0.9361,0.0226,0.0413,"NOISE",TRUE
"71","4118","X085",0.2631,0.0462,0.6907,"X085",TRUE
"72","4126","X085",0.3802,0.0417,0.5781,"X085",TRUE
"73","4130","NOISE",0.6961,0.0053,0.2986,"X085",FALSE
"74","4142","X085",0.1229,0.065,0.8121,"X085",TRUE
"75","4143","X085",0.0136,0.0369,0.9495,"X085",TRUE
"76","4156","NOISE",0.6955,0.0085,0.296,"X085",FALSE
"77","4157","NOISE",0.9386,0.0228,0.0386,"NOISE",TRUE
"78","4169","NOISE",0.9996,4e-04,0,"NOISE",TRUE
"79","4170","NOISE",0.9995,5e-04,0,"NOISE",TRUE
"80","4171","NOISE",1,0,0,"NOISE",TRUE
"81","4178","NOISE",0.9355,0.0239,0.0406,"NOISE",TRUE
"82","4184","X085",0.2997,0.0459,0.6544,"X085",TRUE
"83","4187","NOISE",0.938,0.0234,0.0386,"NOISE",TRUE
"84","4191","X085",0.3149,0.0447,0.6404,"X085",TRUE
"85","4192","X085",0.1182,0.0774,0.8044,"X085",TRUE
"86","4205","NOISE",0.9996,1e-04,3e-04,"NOISE",TRUE
"87","4207","NOISE",0.995,0.0011,0.0039,"NOISE",TRUE
"88","4209","NOISE",0.9983,5e-04,0.0012,"NOISE",TRUE
"89","4210","NOISE",0.9966,0.0013,0.0021,"NOISE",TRUE
"90","4211","NOISE",0.9982,7e-04,0.0011,"NOISE",TRUE
"91","4221","X085",0.2323,0.0504,0.7173,"X085",TRUE
"92","4262","NOISE",0.7789,0.0145,0.2066,"NOISE",TRUE
"93","4263","NOISE",0.9245,0.0151,0.0604,"NOISE",TRUE
"94","4281","X085",0.3446,0.0314,0.624,"X085",TRUE
"95","4282","X085",0.1382,0.0746,0.7872,"X085",TRUE
"96","4309","X085",0.164,0.0558,0.7802,"X085",TRUE
"97","4310","NOISE",0.9391,0.0223,0.0386,"NOISE",TRUE
"98","4311","NOISE",0.9393,0.022,0.0387,"NOISE",TRUE
"100","4344","X085",0.0536,0.0851,0.8613,"X085",TRUE
"101","4345","X085",0.4214,0.0394,0.5392,"X085",TRUE
"102","4357","NOISE",0.9998,1e-04,1e-04,"NOISE",TRUE
"103","4358","NOISE",1,0,0,"NOISE",TRUE
"104","4393","X085",0.3149,0.0433,0.6418,"X085",TRUE
"105","4420","X085",0.3757,0.019,0.6053,"NOISE",FALSE
