"","event.id","predicted","X045","X085","original","correct"
"1","3290","X085",0,1,"X085",TRUE
"2","3292","X085",0.1559,0.8441,"X085",TRUE
"3","3293","X085",0.008,0.992,"X085",TRUE
"4","3298","X085",0.1404,0.8596,"X085",TRUE
"5","3300","X085",0.1399,0.8601,"X085",TRUE
"6","3330","X085",0.0117,0.9883,"X085",TRUE
"7","3335","X085",0.0144,0.9856,"X085",TRUE
"8","3381","X085",0.008,0.992,"X085",TRUE
"9","3437","X085",0,1,"X085",TRUE
"10","3459","X085",0.1396,0.8604,"X085",TRUE
"11","3460","X085",0.0117,0.9883,"X085",TRUE
"12","3462","X085",0.008,0.992,"X085",TRUE
"13","3463","X085",0.0035,0.9965,"X085",TRUE
"14","3504","X085",0.0135,0.9865,"X085",TRUE
"15","3597","X085",2e-04,0.9998,"X085",TRUE
"16","3600","X085",0.0117,0.9883,"X085",TRUE
"17","3644","X085",3e-04,0.9997,"X085",TRUE
"18","3685","X085",0.0117,0.9883,"X085",TRUE
"19","3686","X085",2e-04,0.9998,"X085",TRUE
"20","3688","X085",8e-04,0.9992,"X085",TRUE
"21","3694","X085",0.008,0.992,"X085",TRUE
"22","3742","X085",7e-04,0.9993,"X085",TRUE
"23","3787","X085",0.0409,0.9591,"X085",TRUE
"24","3804","X085",0.0119,0.9881,"X085",TRUE
"25","3853","X085",9e-04,0.9991,"X085",TRUE
"26","3855","X085",0.0135,0.9865,"X085",TRUE
"27","3856","X085",0.0117,0.9883,"X085",TRUE
"28","3866","X085",0.0117,0.9883,"X085",TRUE
"29","3896","X085",1e-04,0.9999,"X085",TRUE
"30","3897","X085",0.1414,0.8586,"X085",TRUE
"31","3904","X085",5e-04,0.9995,"X085",TRUE
"32","3951","X085",0.0615,0.9385,"X085",TRUE
"33","3952","X085",0.1404,0.8596,"X085",TRUE
"34","4029","X085",0,1,"X085",TRUE
"35","4033","X085",0.008,0.992,"X085",TRUE
"36","4042","X085",0.0199,0.9801,"X085",TRUE
"37","4064","X085",0.1518,0.8482,"X085",TRUE
"38","4073","X085",0.0389,0.9611,"X085",TRUE
"39","4094","X085",0.0081,0.9919,"X085",TRUE
"40","4118","X085",1e-04,0.9999,"X085",TRUE
"41","4126","X085",5e-04,0.9995,"X085",TRUE
"42","4130","X085",6e-04,0.9994,"X085",TRUE
"43","4142","X085",9e-04,0.9991,"X085",TRUE
"44","4143","X085",2e-04,0.9998,"X085",TRUE
"45","4156","X085",0.1518,0.8482,"X085",TRUE
"46","4184","X085",0.1518,0.8482,"X085",TRUE
"47","4191","X085",0.1518,0.8482,"X085",TRUE
"48","4192","X085",0.0117,0.9883,"X085",TRUE
"49","4221","X085",0,1,"X085",TRUE
"50","4281","X085",0.1518,0.8482,"X085",TRUE
"51","4282","X085",0.0243,0.9757,"X085",TRUE
"52","4309","X085",2e-04,0.9998,"X085",TRUE
"54","4344","X085",0.0117,0.9883,"X085",TRUE
"55","4345","X085",0.0117,0.9883,"X085",TRUE
"56","4393","X085",0.1395,0.8605,"X085",TRUE
"57","4427","X085",0.1518,0.8482,"X085",TRUE
"58","4440","X085",0.1518,0.8482,"X085",TRUE
"59","4441","X085",0.1481,0.8519,"X085",TRUE
"60","4495","X085",0.1518,0.8482,"X085",TRUE
"61","4515","X085",0.0012,0.9988,"X085",TRUE
"62","4517","X085",0.0117,0.9883,"X085",TRUE
"63","4518","X085",0.0117,0.9883,"X085",TRUE
"64","4548","X085",0.0117,0.9883,"X085",TRUE
"65","4555","X085",0.0077,0.9923,"X085",TRUE
"66","4566","X085",0.0031,0.9969,"X085",TRUE
"67","4577","X085",0.0117,0.9883,"X085",TRUE
"68","4618","X085",0.0117,0.9883,"X085",TRUE
"69","4647","X085",0.1518,0.8482,"X085",TRUE
"70","4727","X085",0.0028,0.9972,"X085",TRUE
"71","4737","X085",0.1503,0.8497,"X085",TRUE
"72","4757","X085",0.0118,0.9882,"X085",TRUE
"73","4767","X085",0.1399,0.8601,"X085",TRUE
"74","4769","X085",1e-04,0.9999,"X085",TRUE
"75","4770","X085",2e-04,0.9998,"X085",TRUE
"76","4841","X045",0.637,0.363,"X045",TRUE
"77","4886","X085",0.0035,0.9965,"X085",TRUE
"78","4974","X085",5e-04,0.9995,"X085",TRUE
"79","5007","X045",0.9218,0.0782,"X045",TRUE
"80","5031","X085",0.0943,0.9057,"X045",FALSE
"81","5032","X045",0.6572,0.3428,"X045",TRUE
"82","5057","X085",1e-04,0.9999,"X085",TRUE
"83","5139","X085",0.0018,0.9982,"X085",TRUE
"84","5835","X085",0.14,0.86,"X085",TRUE
