start,end,id,species,sr,db
8/6/2019 0:00:00,8/6/2019 1:00:00,1,NOISE,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/6/2019 1:00:00,8/6/2019 2:00:00,2,NOISE,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/6/2019 2:00:00,8/6/2019 3:00:00,3,NOISE,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/6/2019 3:00:00,8/6/2019 4:00:00,4,NOISE,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/6/2019 4:00:00,8/6/2019 5:00:00,5,NOISE,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/6/2019 5:00:00,8/6/2019 6:00:00,6,NOISE,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/6/2019 6:00:00,8/6/2019 7:00:00,7,NOISE,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/6/2019 7:00:00,8/6/2019 8:00:00,8,NOISE,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/6/2019 8:00:00,8/6/2019 9:00:00,9,X085,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/6/2019 9:00:00,8/6/2019 10:00:00,10,X085,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/6/2019 10:00:00,8/6/2019 11:00:00,11,X085,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/6/2019 11:00:00,8/6/2019 12:00:00,12,X085,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/6/2019 12:00:00,8/6/2019 13:00:00,13,X085,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/6/2019 13:00:00,8/6/2019 14:00:00,14,NOISE,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/6/2019 14:00:00,8/6/2019 15:00:00,15,NOISE,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/6/2019 15:00:00,8/6/2019 16:00:00,16,NOISE,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/6/2019 16:00:00,8/6/2019 17:00:00,17,X085,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/6/2019 17:00:00,8/6/2019 18:00:00,18,NOISE,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/6/2019 18:00:00,8/6/2019 19:00:00,19,NOISE,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/6/2019 19:00:00,8/6/2019 20:00:00,20,NOISE,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/6/2019 20:00:00,8/6/2019 21:00:00,21,NOISE,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/6/2019 21:00:00,8/6/2019 22:00:00,22,NOISE,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/6/2019 22:00:00,8/6/2019 23:00:00,23,NOISE,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/6/2019 23:00:00,8/7/2019 0:00:00,24,NOISE,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/7/2019 0:00:00,8/7/2019 1:00:00,25,NOISE,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/7/2019 1:00:00,8/7/2019 2:00:00,26,NOISE,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/7/2019 2:00:00,8/7/2019 3:00:00,27,NOISE,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/7/2019 3:00:00,8/7/2019 4:00:00,28,NOISE,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/7/2019 4:00:00,8/7/2019 5:00:00,29,NOISE,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/7/2019 5:00:00,8/7/2019 6:00:00,30,NOISE,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/7/2019 6:00:00,8/7/2019 7:00:00,31,NOISE,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/7/2019 7:00:00,8/7/2019 8:00:00,32,NOISE,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/7/2019 8:00:00,8/7/2019 9:00:00,33,NOISE,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/7/2019 9:00:00,8/7/2019 10:00:00,34,NOISE,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/7/2019 10:00:00,8/7/2019 11:00:00,35,NOISE,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/7/2019 11:00:00,8/7/2019 12:00:00,36,X085,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/7/2019 12:00:00,8/7/2019 13:00:00,37,NOISE,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/7/2019 13:00:00,8/7/2019 14:00:00,38,NOISE,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/7/2019 14:00:00,8/7/2019 15:00:00,39,NOISE,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/7/2019 15:00:00,8/7/2019 16:00:00,40,NOISE,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/7/2019 16:00:00,8/7/2019 17:00:00,41,NOISE,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/7/2019 17:00:00,8/7/2019 18:00:00,42,NOISE,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/7/2019 18:00:00,8/7/2019 19:00:00,43,NOISE,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/7/2019 19:00:00,8/7/2019 20:00:00,44,NOISE,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/7/2019 20:00:00,8/7/2019 21:00:00,45,NOISE,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/7/2019 21:00:00,8/7/2019 22:00:00,46,NOISE,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/7/2019 22:00:00,8/7/2019 23:00:00,47,NOISE,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/7/2019 23:00:00,8/8/2019 0:00:00,48,NOISE,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/8/2019 0:00:00,8/8/2019 1:00:00,49,NOISE,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/8/2019 1:00:00,8/8/2019 2:00:00,50,NOISE,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/8/2019 2:00:00,8/8/2019 3:00:00,51,NOISE,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/8/2019 3:00:00,8/8/2019 4:00:00,52,NOISE,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/8/2019 4:00:00,8/8/2019 5:00:00,53,NOISE,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/8/2019 5:00:00,8/8/2019 6:00:00,54,NOISE,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/8/2019 6:00:00,8/8/2019 7:00:00,55,NOISE,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/8/2019 7:00:00,8/8/2019 8:00:00,56,NOISE,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/8/2019 8:00:00,8/8/2019 9:00:00,57,NOISE,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/8/2019 9:00:00,8/8/2019 10:00:00,58,NOISE,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/8/2019 10:00:00,8/8/2019 11:00:00,59,NOISE,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/8/2019 11:00:00,8/8/2019 12:00:00,60,NOISE,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/8/2019 12:00:00,8/8/2019 13:00:00,61,NOISE,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/8/2019 13:00:00,8/8/2019 14:00:00,62,NOISE,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/8/2019 14:00:00,8/8/2019 15:00:00,63,NOISE,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/8/2019 15:00:00,8/8/2019 16:00:00,64,NOISE,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/8/2019 16:00:00,8/8/2019 17:00:00,65,NOISE,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/8/2019 17:00:00,8/8/2019 18:00:00,66,NOISE,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/8/2019 18:00:00,8/8/2019 19:00:00,67,X085,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/8/2019 19:00:00,8/8/2019 20:00:00,68,X085,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/8/2019 20:00:00,8/8/2019 21:00:00,69,NOISE,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/8/2019 21:00:00,8/8/2019 22:00:00,70,NOISE,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/8/2019 22:00:00,8/8/2019 23:00:00,71,X085,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/8/2019 23:00:00,8/9/2019 0:00:00,72,X085,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/9/2019 0:00:00,8/9/2019 1:00:00,73,NOISE,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/9/2019 1:00:00,8/9/2019 2:00:00,74,NOISE,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/9/2019 2:00:00,8/9/2019 3:00:00,75,NOISE,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/9/2019 3:00:00,8/9/2019 4:00:00,76,NOISE,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/9/2019 4:00:00,8/9/2019 5:00:00,77,NOISE,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/9/2019 5:00:00,8/9/2019 6:00:00,78,NOISE,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/9/2019 6:00:00,8/9/2019 7:00:00,79,NOISE,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/9/2019 7:00:00,8/9/2019 8:00:00,80,NOISE,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/9/2019 8:00:00,8/9/2019 9:00:00,81,NOISE,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/9/2019 9:00:00,8/9/2019 10:00:00,82,NOISE,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/9/2019 10:00:00,8/9/2019 11:00:00,83,NOISE,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/9/2019 11:00:00,8/9/2019 12:00:00,84,NOISE,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/9/2019 12:00:00,8/9/2019 13:00:00,85,NOISE,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/9/2019 13:00:00,8/9/2019 14:00:00,86,NOISE,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/9/2019 14:00:00,8/9/2019 15:00:00,87,NOISE,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/9/2019 15:00:00,8/9/2019 16:00:00,88,NOISE,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/9/2019 16:00:00,8/9/2019 17:00:00,89,NOISE,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/9/2019 17:00:00,8/9/2019 18:00:00,90,NOISE,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/9/2019 18:00:00,8/9/2019 19:00:00,91,NOISE,144000,PAM20209_Zahn_narluga_fisher.sqlite3
8/9/2019 19:00:00,8/9/2019 20:00:00,92,NOISE,144000,PAM20209_Zahn_narluga_fisher.sqlite3
