start,end,id,species,sr,db
8/5/2019 0:00:00,8/5/2019 6:00:00,1,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/5/2019 6:00:00,8/5/2019 12:00:00,2,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/5/2019 12:00:00,8/5/2019 18:00:00,3,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/5/2019 18:00:00,8/6/2019 0:00:00,4,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/6/2019 0:00:00,8/6/2019 6:00:00,5,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/6/2019 6:00:00,8/6/2019 12:00:00,6,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/6/2019 12:00:00,8/6/2019 18:00:00,7,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/6/2019 18:00:00,8/7/2019 0:00:00,8,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/7/2019 0:00:00,8/7/2019 6:00:00,9,X085,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/7/2019 6:00:00,8/7/2019 12:00:00,10,X085,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/7/2019 12:00:00,8/7/2019 18:00:00,11,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/7/2019 18:00:00,8/8/2019 0:00:00,12,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/8/2019 0:00:00,8/8/2019 6:00:00,13,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/8/2019 6:00:00,8/8/2019 12:00:00,14,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/8/2019 12:00:00,8/8/2019 18:00:00,15,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/8/2019 18:00:00,8/9/2019 0:00:00,16,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/9/2019 0:00:00,8/9/2019 6:00:00,17,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/9/2019 6:00:00,8/9/2019 12:00:00,18,X085,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/9/2019 12:00:00,8/9/2019 18:00:00,19,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/9/2019 18:00:00,8/10/2019 0:00:00,20,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/10/2019 0:00:00,8/10/2019 6:00:00,21,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/10/2019 6:00:00,8/10/2019 12:00:00,22,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/10/2019 12:00:00,8/10/2019 18:00:00,23,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/10/2019 18:00:00,8/11/2019 0:00:00,24,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/11/2019 0:00:00,8/11/2019 6:00:00,25,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/11/2019 6:00:00,8/11/2019 12:00:00,26,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/11/2019 12:00:00,8/11/2019 18:00:00,27,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/11/2019 18:00:00,8/12/2019 0:00:00,28,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/12/2019 0:00:00,8/12/2019 6:00:00,29,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/12/2019 6:00:00,8/12/2019 12:00:00,30,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/12/2019 12:00:00,8/12/2019 18:00:00,31,X085,144000,PAM20209_Zahn_narluga_kong.sqlite3
