UID,species,RL,dB_20kHz,dB_30kHz,dB_40kHz,dB_50kHz,dB_60kHz,dB_70kHz
13000001,X045,139.1392134,147.9255469,137.8894718,134.581226,135.2471149,120.6366429,132.6300473
13000004,X045,115.2173735,118.2138278,121.3095876,123.5991583,108.4025643,118.8414365,112.9100506
13000009,X045,118.8052904,133.8000226,116.7158127,119.839316,119.3133679,110.7032312,108.1002472
13000018,X045,118.3551111,133.2166032,126.2068034,119.6164642,117.4817187,120.6811751,113.9139288
13000029,X045,111.9646847,139.7423679,128.740746,106.9151306,128.8463832,123.314013,111.6930072
13000034,X045,120.897763,135.2213228,126.7335147,114.56074,120.0666938,121.3763123,120.9353455
13000040,X045,125.5198645,135.350508,132.0255255,123.2392717,123.5402098,123.1521433,120.247291
13000041,X045,111.9404413,133.3718903,127.0894414,117.0404391,122.9419465,109.8008503,93.4738934
13000042,X045,123.3434111,129.7613123,125.3902895,120.3853424,120.771718,123.1041419,112.9947284
13000050,X045,114.8568792,127.0841941,121.681472,122.2001159,114.4200645,94.17465949,86.24926874
13000052,X045,111.7411632,130.5808466,124.3919925,118.5192213,121.6216088,108.9214433,99.35421126
13000070,X045,117.3291566,121.4756059,122.1393638,113.2361324,110.4752908,113.983451,112.672112
13000077,X045,115.5295601,128.1787995,127.4299028,125.7020162,114.9481707,117.1571584,105.0320651
13000081,X045,118.0305812,128.0662478,128.1612227,121.3004159,116.4531895,107.1989366,109.4875729
13000083,X045,119.3272351,134.1730434,124.2479412,124.5561793,116.7653522,119.7762734,107.7623188
13000092,X045,111.7854766,130.7966399,129.9051153,121.7924367,114.3894862,101.6458677,105.7928254
13000105,X045,111.1646863,132.6149595,126.6120973,124.1876187,118.8337921,112.0045884,110.7686332
13000107,X045,109.0325401,103.2052869,113.8268192,114.5106069,103.7574451,109.523765,104.9409169
13000118,X045,120.2179406,96.24439335,119.9788625,120.8821599,116.5644476,114.1537061,113.2854942
13000132,X045,110.6521888,115.2828447,110.5027932,121.5026866,117.6025291,113.3657333,96.51595
13000147,X045,116.03673,132.4446203,119.1318481,113.2125281,115.8105064,117.7783382,112.254748
13000153,X045,109.5186841,131.2474126,117.9726517,117.4748385,121.382104,120.3279875,111.4947933
13000154,X045,112.1995822,136.4596395,110.6133153,121.1812123,121.3694793,117.5537016,105.6512503
13000175,X045,121.4118844,126.3815844,125.6553951,114.2382171,103.0042189,108.9240584,108.0911563
13000178,X045,121.8664755,132.2918209,121.3720283,117.2478698,123.97021,116.9120223,114.3641346
13000179,X045,116.8726409,128.9974939,124.5056561,113.1376053,115.0620945,106.5735045,105.7928851
13000183,X045,113.8010451,122.1693329,124.7138965,111.6927382,113.552814,114.0909671,106.3717036
13000187,X045,120.6969428,127.5837602,132.1864132,121.7024369,111.0272194,106.798163,115.1046815
13000191,X045,119.3956649,129.4279992,103.572926,118.6591577,121.0659009,113.5483429,106.4822566
13000193,X045,113.6089198,131.8785746,125.9134474,118.9957778,117.5173124,111.4894399,106.0397424
13000197,X045,117.4543579,124.8922223,121.6722751,120.1252981,117.8923471,117.5622647,116.70606
13000203,X045,119.0689901,137.8839334,117.4130913,121.4853754,122.7523318,101.454437,112.7163418
13000204,X045,108.3492392,120.1174222,123.7700401,117.8396862,105.2066457,103.5411189,100.4869132
13000207,X045,124.9650891,134.3818564,121.409376,135.0461491,129.9111899,118.3835243,99.39454798
13000220,X045,115.6167672,120.3501352,123.4436817,119.5490519,109.9047915,113.7343636,110.5801707
13000221,X045,113.6973939,125.6392669,121.7419101,118.4630647,122.8031454,114.7474273,111.7800502
13000224,X045,111.6619701,130.2288909,113.1060967,120.4812825,121.0866815,123.175207,106.0015153
13000233,X045,110.2516814,124.0968927,129.4140477,124.6617846,88.16583068,116.1985661,93.74021925
13000237,X045,117.7666745,127.7316066,114.6040232,110.727062,119.4600085,118.8765932,109.9257455
13000255,X045,120.2891859,127.4158794,126.5356472,123.0059378,125.7396231,118.8360247,110.8495917
13000263,X045,127.5159815,137.6072856,121.7407839,121.3856387,120.634256,120.1823869,116.8583924
13000283,X045,115.6320644,130.2863249,122.6377164,119.3408333,114.6167154,118.956318,105.6658309
13000284,X045,120.0571855,123.3366243,123.6912448,117.6329278,120.5005172,111.4820996,92.8138638
13000288,X045,117.8316183,116.4095718,122.4087493,116.4248533,97.15015561,112.3757689,110.5089295
13000294,X045,118.6055861,132.8550723,117.3835387,120.7468576,117.0702138,119.7747022,109.4460445
13000300,X045,112.4508926,120.234726,117.6558347,120.5203983,119.8904907,108.5660188,105.653055
13000307,X045,113.0201927,134.9250699,130.342899,117.0046115,118.7830448,116.0347096,106.8824237
13000313,X045,113.5942513,129.9061251,125.4939574,118.4751484,116.5461785,108.8741434,110.1014384
13000314,X045,119.736087,137.1417822,125.2480869,106.5721725,118.3126008,111.3609612,85.58127717
