start,end,id,species,sr,db
8/23/2019 23:00:00,8/23/2019 23:02:00,1,NOISE,144000,PAM20103_Zahn_narluga_Fisher-noise_20kHztrigger.sqlite3
8/23/2019 23:02:00,8/23/2019 23:04:00,2,NOISE,144000,PAM20103_Zahn_narluga_Fisher-noise_20kHztrigger.sqlite3
8/23/2019 23:04:00,8/23/2019 23:06:00,3,NOISE,144000,PAM20103_Zahn_narluga_Fisher-noise_20kHztrigger.sqlite3
8/23/2019 23:06:00,8/23/2019 23:08:00,4,NOISE,144000,PAM20103_Zahn_narluga_Fisher-noise_20kHztrigger.sqlite3
8/23/2019 23:08:00,8/23/2019 23:10:00,5,NOISE,144000,PAM20103_Zahn_narluga_Fisher-noise_20kHztrigger.sqlite3
8/24/2019 11:00:00,8/24/2019 11:02:00,6,NOISE,144000,PAM20103_Zahn_narluga_Fisher-noise_20kHztrigger.sqlite3
8/24/2019 11:02:00,8/24/2019 11:04:00,7,NOISE,144000,PAM20103_Zahn_narluga_Fisher-noise_20kHztrigger.sqlite3
8/24/2019 11:04:00,8/24/2019 11:06:00,8,NOISE,144000,PAM20103_Zahn_narluga_Fisher-noise_20kHztrigger.sqlite3
8/24/2019 11:06:00,8/24/2019 11:08:00,9,NOISE,144000,PAM20103_Zahn_narluga_Fisher-noise_20kHztrigger.sqlite3
8/24/2019 11:08:00,8/24/2019 11:10:00,10,NOISE,144000,PAM20103_Zahn_narluga_Fisher-noise_20kHztrigger.sqlite3
