"","variable","mean_beluga","sd_beluga","median_beluga","mean_narwhal","sd_narwhal","median_narwhal"
"1","peak",39.1,7.4,38.6,31.6,7.2,29.6
"2","peak2",42.4,13.1,40.2,35.5,12.5,36.8
"3","peak3",31.6,18.5,27,30.3,23.7,43.2
"4","trough",37.6,11.6,32.8,38.4,11.9,40.4
"5","trough2",35.6,16,38.4,23.7,18.4,28
"6","peakToPeak2",15.8,4.3,15.2,13.7,5.2,12.8
"7","peakToPeak3",15,8.5,13.6,11.9,10,12
"8","peak2ToPeak3",19.5,11.2,19,13.6,11.5,12.4
"9","Q_10dB",3.9,2.3,2.8,4.8,5,3.3
"10","Q_3dB",16,10.3,11.9,19.9,12.2,17.9
"11","fmin_10dB",33.9,6.3,31.3,25.7,5.6,24.3
"12","fmin_3dB",38.3,6.7,38.6,29.3,6.4,27.7
"13","fmax_10dB",47.6,8.6,46.8,37.4,10.5,34.5
"14","fmax_3dB",41.7,6.5,41.5,31.6,7.3,29.7
"15","BW_10dB",13.7,7.6,13.3,11.8,9.3,8.5
"16","BW_3dB",3.4,1.8,3.4,2.3,2,1.8
"17","centerkHz_10dB",40.8,6.5,40.9,31.6,7,29.8
"18","centerkHz_3dB",40,6.5,40.1,30.4,6.8,28.7
"19","duration",90.5,81,73.1,157.1,266.1,76.6
"20","All_ici",40.6,45.4,14.1,82.7,87.8,75.2
