"","freq","avgSpec","avgNoise"
"1",281.25,-22.2660427199666,-18.0231644030989
"2",562.5,-18.3131068599373,-14.1492476951639
"3",843.75,-10.1406064950273,-11.6026983845148
"4",1125,-4.23261501311805,-11.7388906423515
"5",1406.25,-1.76459522701221,-13.334628160867
"6",1687.5,-1.88670737823228,-14.787789499551
"7",1968.75,-3.30798493696723,-15.5984167442305
"8",2250,-5.01933383173059,-16.3282063134337
"9",2531.25,-6.59562062988444,-17.1325741502737
"10",2812.5,-7.54442619348767,-17.8655390557691
"11",3093.75,-7.29244690172202,-18.5787663281364
"12",3375,-7.21623590685754,-19.1437034999826
"13",3656.25,-7.7614939977548,-19.4383839931446
"14",3937.5,-8.40069415774816,-19.7224358504877
"15",4218.75,-8.8718063699747,-20.0305192859046
"16",4500,-9.17982759683104,-20.3508832527944
"17",4781.25,-9.57522894965111,-20.6420258461471
"18",5062.5,-10.0726246831271,-20.905279410131
"19",5343.75,-10.5670761325975,-21.2793607394509
"20",5625,-10.9171686192241,-21.6551630447242
"21",5906.25,-11.339027318429,-22.0619134090474
"22",6187.5,-11.6871618072504,-22.3669770764394
"23",6468.75,-11.7789906610682,-22.5658306338978
"24",6750,-12.0000378801099,-22.8037070664504
"25",7031.25,-12.1212430742368,-23.144441283909
"26",7312.5,-12.1367709122703,-23.5619546939414
"27",7593.75,-12.2421121838254,-24.0648401291384
"28",7875,-12.4927477807926,-24.5440972850889
"29",8156.25,-12.6485013749996,-24.982253691395
"30",8437.5,-12.655017672933,-25.4164544798838
"31",8718.75,-12.798635595253,-25.8799317535708
"32",9000,-13.0423762221438,-26.4453999983212
"33",9281.25,-13.1469342434703,-26.8820521579712
"34",9562.5,-13.206499622991,-27.2788257376573
"35",9843.75,-13.4219145974528,-27.7021021839269
"36",10125,-13.6710063405075,-28.1873359860229
"37",10406.25,-13.8054535545106,-28.6640588341188
"38",10687.5,-13.9109551635045,-29.1233781796104
"39",10968.75,-14.1543695327409,-29.5138512343313
"40",11250,-14.5108308138334,-29.7821498912966
"41",11531.25,-14.819064399824,-29.957349441156
"42",11812.5,-14.8987115127351,-30.0848175888301
"43",12093.75,-14.9100058445333,-30.144288101826
"44",12375,-14.9313844962424,-30.249207853181
"45",12656.25,-14.9971477391206,-30.3328615703363
"46",12937.5,-15.1287596794879,-30.39761147077
"47",13218.75,-15.3193117216583,-30.5720252755048
"48",13500,-15.5029171541877,-30.7485264285514
"49",13781.25,-15.7140041744967,-30.9188465050367
"50",14062.5,-15.9239441671447,-31.1079438067013
"51",14343.75,-16.1016821445526,-31.1401716949496
"52",14625,-16.3173806466381,-31.1407067590703
"53",14906.25,-16.5749647563715,-31.1492825387903
"54",15187.5,-16.8927917177776,-31.1128305931297
"55",15468.75,-17.1188964871982,-31.0456772284858
"56",15750,-17.3250557579382,-30.9441997258479
"57",16031.25,-17.6265148635176,-30.8502588761254
"58",16312.5,-17.8782516052519,-30.6336374247155
"59",16593.75,-18.0601600807467,-30.4435886123053
"60",16875,-18.2359750806797,-30.3030340385545
"61",17156.25,-18.5652516230635,-30.088268327348
"62",17437.5,-18.8059659577616,-29.8503498858901
"63",17718.75,-18.9757894447552,-29.5955418221305
"64",18000,-19.1746518055642,-29.3326571139919
"65",18281.25,-19.3775367095278,-29.1324206332575
"66",18562.5,-19.5720687070322,-28.9302805150276
"67",18843.75,-19.7656361392046,-28.7907614433254
"68",19125,-19.9693367656775,-28.6960210286159
"69",19406.25,-20.1060021660089,-28.6374500949896
"70",19687.5,-20.3525222172225,-28.5153042767706
"71",19968.75,-20.6557712127933,-28.4249805672151
"72",20250,-20.9212181956269,-28.3127151525818
"73",20531.25,-21.1428845215052,-28.2206201815388
"74",20812.5,-21.4403303354521,-28.1242069806514
"75",21093.75,-21.5697243806043,-28.052229451223
