"freq","avgSpec"
281.25,-22.2660427199666
562.5,-18.3131068599373
843.75,-10.1406064950273
1125,-4.23261501311805
1406.25,-1.76459522701221
1687.5,-1.88670737823228
1968.75,-3.30798493696723
2250,-5.01933383173059
2531.25,-6.59562062988444
2812.5,-7.54442619348767
3093.75,-7.29244690172202
3375,-7.21623590685754
3656.25,-7.7614939977548
3937.5,-8.40069415774816
4218.75,-8.8718063699747
4500,-9.17982759683104
4781.25,-9.57522894965111
5062.5,-10.0726246831271
5343.75,-10.5670761325975
5625,-10.9171686192241
5906.25,-11.339027318429
6187.5,-11.6871618072504
6468.75,-11.7789906610682
6750,-12.0000378801099
7031.25,-12.1212430742368
7312.5,-12.1367709122703
7593.75,-12.2421121838254
7875,-12.4927477807926
8156.25,-12.6485013749996
8437.5,-12.655017672933
8718.75,-12.798635595253
9000,-13.0423762221438
9281.25,-13.1469342434703
9562.5,-13.206499622991
9843.75,-13.4219145974528
10125,-13.6710063405075
10406.25,-13.8054535545106
10687.5,-13.9109551635045
10968.75,-14.1543695327409
11250,-14.5108308138334
11531.25,-14.819064399824
11812.5,-14.8987115127351
12093.75,-14.9100058445333
12375,-14.9313844962424
12656.25,-14.9971477391206
12937.5,-15.1287596794879
13218.75,-15.3193117216583
13500,-15.5029171541877
13781.25,-15.7140041744967
14062.5,-15.9239441671447
14343.75,-16.1016821445526
14625,-16.3173806466381
14906.25,-16.5749647563715
15187.5,-16.8927917177776
15468.75,-17.1188964871982
15750,-17.3250557579382
16031.25,-17.6265148635176
16312.5,-17.8782516052519
16593.75,-18.0601600807467
16875,-18.2359750806797
17156.25,-18.5652516230635
17437.5,-18.8059659577616
17718.75,-18.9757894447552
18000,-19.1746518055642
18281.25,-19.3775367095278
18562.5,-19.5720687070322
18843.75,-19.7656361392046
19125,-19.9693367656775
19406.25,-20.1060021660089
19687.5,-20.3525222172225
19968.75,-20.6557712127933
20250,-20.9212181956269
20531.25,-21.1428845215052
20812.5,-21.4403303354521
21093.75,-21.5697243806043
21375,-21.6574012642495
21656.25,-21.7710188981212
21937.5,-21.7689630545127
22218.75,-21.8349444749664
22500,-21.8075356354471
22781.25,-21.7737037475246
23062.5,-21.7051955915253
23343.75,-21.6727078068977
23625,-21.5864839982933
23906.25,-21.5504176387388
24187.5,-21.4807753115152
24468.75,-21.4859702990946
24750,-21.4322204317754
25031.25,-21.3201004715931
25312.5,-21.0834082895451
25593.75,-20.9232488882916
25875,-20.6869137113725
26156.25,-20.5452654008373
26437.5,-20.4669291886985
26718.75,-20.3649648681752
27000,-20.2158784163913
27281.25,-20.0709210945066
27562.5,-19.9882447531282
27843.75,-19.8583720630421
28125,-19.7985467121457
28406.25,-19.5287743930052
28687.5,-19.3050529715226
28968.75,-18.9882208869695
29250,-18.5863782993589
29531.25,-18.1141344206013
29812.5,-17.6733567036891
30093.75,-17.1742291024758
30375,-16.7710922605338
30656.25,-16.3309337189594
30937.5,-15.8831035609855
31218.75,-15.3850245575732
31500,-14.8894402974185
31781.25,-14.4377991990285
32062.5,-14.0041476393941
32343.75,-13.5518169399739
32625,-13.1322057921396
32906.25,-12.7589939444495
33187.5,-12.3978555604443
33468.75,-12.0224611951645
33750,-11.6410998028892
34031.25,-11.2106532881847
34312.5,-10.7767008442773
34593.75,-10.3192411290554
34875,-9.86959599995547
35156.25,-9.41188557366133
35437.5,-8.87776137326301
35718.75,-8.40651369595637
36000,-7.91324360153691
36281.25,-7.45385995155998
36562.5,-7.04392877094298
36843.75,-6.65141034965448
37125,-6.29045020683839
37406.25,-6.0214347279004
37687.5,-5.85251085681115
37968.75,-5.70585506156564
38250,-5.58139758063719
38531.25,-5.55417031437555
38812.5,-5.52008542839461
39093.75,-5.46083811169144
39375,-5.30145988921659
39656.25,-5.02706078881239
39937.5,-4.65236617615319
40218.75,-4.28140537825734
40500,-3.95684478384808
40781.25,-3.6991372090445
41062.5,-3.48379338681437
41343.75,-3.33737665029077
41625,-3.22359709745386
41906.25,-3.1792535897592
42187.5,-3.16990001454282
42468.75,-3.148698481873
42750,-3.14944649218491
43031.25,-3.1543433334221
43312.5,-3.11439653618153
43593.75,-3.0903219935269
43875,-3.01354547492514
44156.25,-2.90737025595055
44437.5,-2.72441169412281
44718.75,-2.50232200741298
45000,-2.23455775250985
45281.25,-1.96995519165458
45562.5,-1.80493346809478
45843.75,-1.66803867455806
46125,-1.55663854931903
46406.25,-1.43954318406304
46687.5,-1.33897934885547
46968.75,-1.25284539906332
47250,-1.23229866791521
47531.25,-1.25304628243272
47812.5,-1.26898000548477
48093.75,-1.35020734455825
48375,-1.42094666497309
48656.25,-1.40771602943507
48937.5,-1.37062826373475
49218.75,-1.28884631977652
49500,-1.16027024978316
49781.25,-0.972845504565765
50062.5,-0.759821175532576
50343.75,-0.519511449414964
50625,-0.313413494592641
50906.25,-0.159768701721166
51187.5,-0.0561420043877909
51468.75,0
51750,-0.038212951801107
52031.25,-0.117335675457291
52312.5,-0.247372862390314
52593.75,-0.455910851132334
52875,-0.692986290668014
53156.25,-0.905412377632757
53437.5,-1.02092712934331
53718.75,-1.03165104799761
54000,-0.934206147428885
54281.25,-0.772154301632501
54562.5,-0.635994454040642
54843.75,-0.491085963763609
55125,-0.360534444645758
55406.25,-0.269955981203402
55687.5,-0.231376955848365
55968.75,-0.239452432567589
56250,-0.291782940000189
56531.25,-0.410393860433249
56812.5,-0.593711543890283
57093.75,-0.858373717867149
57375,-1.0807013092465
57656.25,-1.32192681359744
57937.5,-1.57986567426954
58218.75,-1.71782473638175
58500,-1.79075768631302
58781.25,-1.83008530957702
59062.5,-1.85747176571667
59343.75,-1.89367131952998
59625,-1.93190499895921
59906.25,-1.98781477459902
60187.5,-2.07383549898431
60468.75,-2.1961727015601
60750,-2.29696393256564
61031.25,-2.4632457429169
61312.5,-2.63859159829467
61593.75,-2.85207420085142
61875,-3.14051284429706
62156.25,-3.50260897946498
62437.5,-3.89040562195768
62718.75,-4.28338371812131
63000,-4.67151784652225
63281.25,-4.99617873623215
63562.5,-5.22054583634094
63843.75,-5.41262325227865
64125,-5.60455110829054
64406.25,-5.79664182859873
64687.5,-5.98302116589728
64968.75,-6.20744320907383
65250,-6.48862136298818
65531.25,-6.83048546263558
65812.5,-7.1659019220175
66093.75,-7.55095276355199
66375,-7.97642694509986
66656.25,-8.46684058021915
66937.5,-8.957690500798
67218.75,-9.38911817215121
67500,-9.82925909947494
67781.25,-10.2377929377345
68062.5,-10.648208204442
68343.75,-11.0512089473198
68625,-11.5073793501066
68906.25,-11.9994724252579
69187.5,-12.5517761846149
69468.75,-13.1097523105075
69750,-13.6931298179418
70031.25,-14.3248140577203
70312.5,-14.9553886750887
70593.75,-15.4887862077769
70875,-16.0003387679944
71156.25,-16.4005696014857
71437.5,-16.7367706343512
71718.75,-17.0213121429097
72000,-17.3067179307995
