"freq","avgNoise"
562.5,-18.0231644030989
1125,-14.1492476951639
1687.5,-11.6026983845148
2250,-11.7388906423515
2812.5,-13.334628160867
3375,-14.787789499551
3937.5,-15.5984167442305
4500,-16.3282063134337
5062.5,-17.1325741502737
5625,-17.8655390557691
6187.5,-18.5787663281364
6750,-19.1437034999826
7312.5,-19.4383839931446
7875,-19.7224358504877
8437.5,-20.0305192859046
9000,-20.3508832527944
9562.5,-20.6420258461471
10125,-20.905279410131
10687.5,-21.2793607394509
11250,-21.6551630447242
11812.5,-22.0619134090474
12375,-22.3669770764394
12937.5,-22.5658306338978
13500,-22.8037070664504
14062.5,-23.144441283909
14625,-23.5619546939414
15187.5,-24.0648401291384
15750,-24.5440972850889
16312.5,-24.982253691395
16875,-25.4164544798838
17437.5,-25.8799317535708
18000,-26.4453999983212
18562.5,-26.8820521579712
19125,-27.2788257376573
19687.5,-27.7021021839269
20250,-28.1873359860229
20812.5,-28.6640588341188
21375,-29.1233781796104
21937.5,-29.5138512343313
22500,-29.7821498912966
23062.5,-29.957349441156
23625,-30.0848175888301
24187.5,-30.144288101826
24750,-30.249207853181
25312.5,-30.3328615703363
25875,-30.39761147077
26437.5,-30.5720252755048
27000,-30.7485264285514
27562.5,-30.9188465050367
28125,-31.1079438067013
28687.5,-31.1401716949496
29250,-31.1407067590703
29812.5,-31.1492825387903
30375,-31.1128305931297
30937.5,-31.0456772284858
31500,-30.9441997258479
32062.5,-30.8502588761254
32625,-30.6336374247155
33187.5,-30.4435886123053
33750,-30.3030340385545
34312.5,-30.088268327348
34875,-29.8503498858901
35437.5,-29.5955418221305
36000,-29.3326571139919
36562.5,-29.1324206332575
37125,-28.9302805150276
37687.5,-28.7907614433254
38250,-28.6960210286159
38812.5,-28.6374500949896
39375,-28.5153042767706
39937.5,-28.4249805672151
40500,-28.3127151525818
41062.5,-28.2206201815388
41625,-28.1242069806514
42187.5,-28.052229451223
42750,-28.0232690370709
43312.5,-27.9573459066077
43875,-27.9466301424731
44437.5,-27.8813879854421
45000,-27.7638397660126
45562.5,-27.6570544883062
46125,-27.561856443983
46687.5,-27.4964105988163
47250,-27.496506891054
47812.5,-27.4543174073202
48375,-27.4063133603072
48937.5,-27.3760594391334
49500,-27.3483508467013
50062.5,-27.297856231443
50625,-27.2486829463091
51187.5,-27.2012509127285
51750,-27.1771088316016
52312.5,-27.2143080531815
52875,-27.2425833245177
53437.5,-27.2897523960784
54000,-27.355355045645
54562.5,-27.3674703107799
55125,-27.3743286863239
55687.5,-27.3944994680244
56250,-27.4463301653449
56812.5,-27.5890286867709
57375,-27.7998902478716
57937.5,-27.9970903826543
58500,-28.1778995933737
59062.5,-28.3172236881631
59625,-28.4482008092105
60187.5,-28.6162173621006
60750,-28.8350190301059
61312.5,-29.110176751291
61875,-29.3663552732372
62437.5,-29.6682232023429
63000,-30.0012489037767
63562.5,-30.3250996758976
64125,-30.6134942615146
64687.5,-30.9254661109679
65250,-31.2392663100793
65812.5,-31.5725955534596
66375,-31.920516977663
66937.5,-32.2529332689928
67500,-32.6165413393285
68062.5,-32.9854549817231
68625,-33.2947331049528
69187.5,-33.6061058938303
69750,-33.9047824866746
70312.5,-34.1736135262373
70875,-34.451949402405
71437.5,-34.6396658079939
72000,-34.782092043573
