"freq","avgSpec"
281.25,-21.370965295554
562.5,-18.0933880085372
843.75,-10.2334451045024
1125,-3.81704041457434
1406.25,-0.641814062520751
1687.5,0
1968.75,-0.629354507344225
2250,-1.54231240792492
2531.25,-2.65785036573609
2812.5,-3.26264832351113
3093.75,-2.60544605821567
3375,-2.26310394057707
3656.25,-2.320865670034
3937.5,-2.33324442085468
4218.75,-2.52298998952196
4500,-2.88174223626875
4781.25,-3.18818691762798
5062.5,-3.57827681534742
5343.75,-4.20859382385921
5625,-4.80246816972698
5906.25,-5.18975011344699
6187.5,-5.400657786665
6468.75,-5.52694015299685
6750,-5.71745191265878
7031.25,-5.89030813556884
7312.5,-5.80052307475916
7593.75,-5.66030753952833
7875,-5.68084230069594
8156.25,-5.73432041046059
8437.5,-5.79111007816886
8718.75,-5.94150345080701
9000,-6.19389414225899
9281.25,-6.34149983368675
9562.5,-6.43201705836349
9843.75,-6.64809844924753
10125,-6.93209040818233
10406.25,-7.19245956055897
10687.5,-7.39365971001061
10968.75,-7.56969027522553
11250,-7.67095628325226
11531.25,-7.76867781438141
11812.5,-7.86388335497621
12093.75,-7.92683797647921
12375,-8.03113601390523
12656.25,-8.20925882928647
12937.5,-8.36572191186142
13218.75,-8.54800072535507
13500,-8.81532955646532
13781.25,-8.98612700435586
14062.5,-9.19044045887874
14343.75,-9.42398740554722
14625,-9.62531189575652
14906.25,-9.88814353764907
15187.5,-10.1679172673649
15468.75,-10.46093747213
15750,-10.7155607881137
16031.25,-10.9166509160674
16312.5,-11.0784023706997
16593.75,-11.2339651942833
16875,-11.376506192096
17156.25,-11.5209374849306
17437.5,-11.5941646227775
17718.75,-11.553189661828
18000,-11.4349189587489
18281.25,-11.180849507198
18562.5,-10.8386767810317
18843.75,-10.4931447373966
19125,-10.0390769082685
19406.25,-9.54574645906698
19687.5,-9.03789635485079
19968.75,-8.31283025841678
20250,-7.37366348745472
20531.25,-6.25977586859653
20812.5,-5.04763164892483
21093.75,-3.87850559156809
21375,-2.90078368463276
21656.25,-2.1634258624092
21937.5,-1.71961813733997
22218.75,-1.61068827606513
22500,-1.75488918219329
22781.25,-2.0267389163479
23062.5,-2.38190532068663
23343.75,-2.73964559860875
23625,-2.9489313296215
23906.25,-3.01917656576957
24187.5,-3.06243993156658
24468.75,-3.16649679833314
24750,-3.32290166278634
25031.25,-3.40880353685177
25312.5,-3.40426893490034
25593.75,-3.34096736040844
25875,-3.25616513763066
26156.25,-3.33256166423651
26437.5,-3.52925936393669
26718.75,-3.60873001020017
27000,-3.45311341891336
27281.25,-3.33000219905817
27562.5,-3.23310872408272
27843.75,-3.20103305703103
28125,-3.27833424350624
28406.25,-3.42753482232025
28687.5,-3.49822726852995
28968.75,-3.45744952811163
29250,-3.41866653691572
29531.25,-3.3998642578655
29812.5,-3.40922157059203
30093.75,-3.47192691536263
30375,-3.53193334635829
30656.25,-3.53811994918514
30937.5,-3.50518383561367
31218.75,-3.46828709957966
31500,-3.37224342667456
31781.25,-3.2940000035655
32062.5,-3.28586010614642
32343.75,-3.35209145744388
32625,-3.37109419622685
32906.25,-3.38624527325836
33187.5,-3.40181085940698
33468.75,-3.40757436064581
33750,-3.40899203001377
34031.25,-3.41094450299819
34312.5,-3.42709161851078
34593.75,-3.46615129944203
34875,-3.49873897388335
35156.25,-3.53443202758163
35437.5,-3.55951787888522
35718.75,-3.57899009978955
36000,-3.57219824331258
36281.25,-3.56163774642527
36562.5,-3.57889798628373
36843.75,-3.55124693101303
37125,-3.55546013895818
37406.25,-3.53595379075941
37687.5,-3.47499214689169
37968.75,-3.41629645082637
38250,-3.37155572454052
38531.25,-3.41239061256771
38812.5,-3.46356970307549
39093.75,-3.46038825108587
39375,-3.4077212748869
39656.25,-3.35264954154205
39937.5,-3.28438331899011
40218.75,-3.22095102274867
40500,-3.18536051163973
40781.25,-3.14562927864959
41062.5,-3.12322975300115
41343.75,-3.10801625769442
41625,-3.08080239478117
41906.25,-3.05983799620147
42187.5,-3.03646484585322
42468.75,-3.00828690581677
42750,-2.98780604673879
43031.25,-2.97718367003455
43312.5,-2.98633117136307
43593.75,-2.98891619552212
43875,-2.98507301403096
44156.25,-2.96585163392026
44437.5,-2.94642166522495
44718.75,-2.92351610109225
45000,-2.92195743221712
45281.25,-2.94704731495281
45562.5,-2.97045628651682
45843.75,-2.99209516330427
46125,-3.02183273991097
46406.25,-3.06845259295812
46687.5,-3.10709069273502
46968.75,-3.14901442666191
47250,-3.19910403350589
47531.25,-3.23350906440561
