"freq","avgNoise"
562.5,-13.857855230559
1125,-10.2430377074171
1687.5,-7.26142809648255
2250,-6.59451680359465
2812.5,-7.16129775421918
3375,-7.69323135750666
3937.5,-7.7800769605865
4500,-7.96007256668568
5062.5,-8.48039839261318
5625,-9.19948278665131
6187.5,-9.8209227004405
6750,-10.2093104269722
7312.5,-10.4642241116662
7875,-10.5793151055361
8437.5,-10.6649054393565
9000,-10.8755384964272
9562.5,-11.1785398509909
10125,-11.5121304840527
10687.5,-11.9132767225627
11250,-12.2719942913965
11812.5,-12.4977134493685
12375,-12.7206862880513
12937.5,-12.9904458038074
13500,-13.3451469093343
14062.5,-13.7761323430119
14625,-14.2099436037555
15187.5,-14.6357301165449
15750,-15.1433489610091
16312.5,-15.5949708369158
16875,-16.007193995081
17437.5,-16.3453412588753
18000,-16.5804056084578
18562.5,-16.6620706784655
19125,-16.7009890906453
19687.5,-16.7096055542212
20250,-16.6937771967374
20812.5,-16.6117520274342
21375,-16.4436615400665
21937.5,-16.3273322792222
22500,-16.3440009381472
23062.5,-16.4987681800275
23625,-16.7532897910177
24187.5,-17.1196269565823
24750,-17.4770761174193
25312.5,-17.7699500072344
25875,-17.9713246203106
26437.5,-18.1328211656228
27000,-18.3004203480299
27562.5,-18.4361177433971
28125,-18.5436948235633
28687.5,-18.7239645612414
29250,-18.9646757612593
29812.5,-19.2117828727536
30375,-19.4279215317865
30937.5,-19.640678790274
31500,-19.825387343943
32062.5,-20.0109986523682
32625,-20.2043634909233
33187.5,-20.4101510809505
33750,-20.604412162873
34312.5,-20.7784278940545
34875,-20.9419343990316
35437.5,-21.1106354334862
36000,-21.2859635971334
36562.5,-21.4110537051003
37125,-21.4909167143189
37687.5,-21.5590856975081
38250,-21.6325994610551
38812.5,-21.7565243111654
39375,-21.9214196242402
39937.5,-22.083529057215
40500,-22.2498416870271
41062.5,-22.3819170567594
41625,-22.4882123365958
42187.5,-22.5610030643926
42750,-22.660291684046
43312.5,-22.7703347847496
43875,-22.8500182458343
44437.5,-22.9269748796996
45000,-23.0289272925363
45562.5,-23.1593342168207
46125,-23.2641141967816
46687.5,-23.353791541538
47250,-23.4727055567123
47812.5,-23.5844379827079
48375,-23.6701750977133
48937.5,-23.7534724076059
49500,-23.8152526847207
50062.5,-23.9032233289707
50625,-23.9957183678019
51187.5,-24.1028407155441
51750,-24.2254497536611
52312.5,-24.3631867829655
52875,-24.4863391319847
53437.5,-24.644599324438
54000,-24.7933823412903
54562.5,-24.9454574299446
55125,-25.1168513739695
55687.5,-25.2644504772338
56250,-25.4087169152373
56812.5,-25.614499766144
57375,-25.8493101389568
57937.5,-26.084735488404
58500,-26.3386984225078
59062.5,-26.5605738040199
59625,-26.7560161658795
60187.5,-26.9486415454307
60750,-27.1505002757989
61312.5,-27.4064619592233
61875,-27.684576623958
62437.5,-27.9255512726686
63000,-28.1753915498624
63562.5,-28.4275781442265
64125,-28.681808098465
64687.5,-28.9654171905541
65250,-29.2435151833825
65812.5,-29.5032141391264
66375,-29.7329795146702
66937.5,-29.9843856182515
67500,-30.2376398292891
68062.5,-30.4798014658837
68625,-30.7195585420228
69187.5,-30.9349973647485
69750,-31.144534683757
70312.5,-31.2934261668928
70875,-31.4535621635438
71437.5,-31.6036522113643
72000,-31.6992910741683
