"","freq","avgSpec","avgNoise"
"1",281.25,-21.370965295554,-13.857855230559
"2",562.5,-18.0933880085372,-10.2430377074171
"3",843.75,-10.2334451045024,-7.26142809648255
"4",1125,-3.81704041457434,-6.59451680359465
"5",1406.25,-0.641814062520751,-7.16129775421918
"6",1687.5,0,-7.69323135750666
"7",1968.75,-0.629354507344225,-7.7800769605865
"8",2250,-1.54231240792492,-7.96007256668568
"9",2531.25,-2.65785036573609,-8.48039839261318
"10",2812.5,-3.26264832351113,-9.19948278665131
"11",3093.75,-2.60544605821567,-9.8209227004405
"12",3375,-2.26310394057707,-10.2093104269722
"13",3656.25,-2.320865670034,-10.4642241116662
"14",3937.5,-2.33324442085468,-10.5793151055361
"15",4218.75,-2.52298998952196,-10.6649054393565
"16",4500,-2.88174223626875,-10.8755384964272
"17",4781.25,-3.18818691762798,-11.1785398509909
"18",5062.5,-3.57827681534742,-11.5121304840527
"19",5343.75,-4.20859382385921,-11.9132767225627
"20",5625,-4.80246816972698,-12.2719942913965
"21",5906.25,-5.18975011344699,-12.4977134493685
"22",6187.5,-5.400657786665,-12.7206862880513
"23",6468.75,-5.52694015299685,-12.9904458038074
"24",6750,-5.71745191265878,-13.3451469093343
"25",7031.25,-5.89030813556884,-13.7761323430119
"26",7312.5,-5.80052307475916,-14.2099436037555
"27",7593.75,-5.66030753952833,-14.6357301165449
"28",7875,-5.68084230069594,-15.1433489610091
"29",8156.25,-5.73432041046059,-15.5949708369158
"30",8437.5,-5.79111007816886,-16.007193995081
"31",8718.75,-5.94150345080701,-16.3453412588753
"32",9000,-6.19389414225899,-16.5804056084578
"33",9281.25,-6.34149983368675,-16.6620706784655
"34",9562.5,-6.43201705836349,-16.7009890906453
"35",9843.75,-6.64809844924753,-16.7096055542212
"36",10125,-6.93209040818233,-16.6937771967374
"37",10406.25,-7.19245956055897,-16.6117520274342
"38",10687.5,-7.39365971001061,-16.4436615400665
"39",10968.75,-7.56969027522553,-16.3273322792222
"40",11250,-7.67095628325226,-16.3440009381472
"41",11531.25,-7.76867781438141,-16.4987681800275
"42",11812.5,-7.86388335497621,-16.7532897910177
"43",12093.75,-7.92683797647921,-17.1196269565823
"44",12375,-8.03113601390523,-17.4770761174193
"45",12656.25,-8.20925882928647,-17.7699500072344
"46",12937.5,-8.36572191186142,-17.9713246203106
"47",13218.75,-8.54800072535507,-18.1328211656228
"48",13500,-8.81532955646532,-18.3004203480299
"49",13781.25,-8.98612700435586,-18.4361177433971
"50",14062.5,-9.19044045887874,-18.5436948235633
"51",14343.75,-9.42398740554722,-18.7239645612414
"52",14625,-9.62531189575652,-18.9646757612593
"53",14906.25,-9.88814353764907,-19.2117828727536
"54",15187.5,-10.1679172673649,-19.4279215317865
