start,end,id,species,sr,db
9/15/2019 12:00:00,9/15/2019 13:00:00,2001,NOISE,144000,PAM20209_Zahn_narluga_fisher_noise.sqlite3
9/15/2019 13:00:00,9/15/2019 14:00:00,2002,NOISE,144000,PAM20209_Zahn_narluga_fisher_noise.sqlite3
9/15/2019 14:00:00,9/15/2019 15:00:00,2003,NOISE,144000,PAM20209_Zahn_narluga_fisher_noise.sqlite3
9/15/2019 15:00:00,9/15/2019 16:00:00,2004,NOISE,144000,PAM20209_Zahn_narluga_fisher_noise.sqlite3
9/15/2019 16:00:00,9/15/2019 17:00:00,2005,NOISE,144000,PAM20209_Zahn_narluga_fisher_noise.sqlite3
9/15/2019 17:00:00,9/15/2019 18:00:00,2006,NOISE,144000,PAM20209_Zahn_narluga_fisher_noise.sqlite3
11/8/2019 18:00:00,11/8/2019 19:00:00,2007,NOISE,144000,PAM20209_Zahn_narluga_fisher_noise.sqlite3
11/8/2019 19:00:00,11/8/2019 20:00:00,2008,NOISE,144000,PAM20209_Zahn_narluga_fisher_noise.sqlite3
11/8/2019 20:00:00,11/8/2019 21:00:00,2009,NOISE,144000,PAM20209_Zahn_narluga_fisher_noise.sqlite3
11/8/2019 21:00:00,11/8/2019 22:00:00,2010,NOISE,144000,PAM20209_Zahn_narluga_fisher_noise.sqlite3
11/8/2019 22:00:00,11/8/2019 23:00:00,2011,NOISE,144000,PAM20209_Zahn_narluga_fisher_noise.sqlite3
11/8/2019 23:00:00,11/9/2019 0:00:00,2012,NOISE,144000,PAM20209_Zahn_narluga_fisher_noise.sqlite3
11/22/2019 12:00:00,11/22/2019 13:00:00,2013,NOISE,144000,PAM20209_Zahn_narluga_fisher_noise.sqlite3
11/22/2019 13:00:00,11/22/2019 14:00:00,2014,NOISE,144000,PAM20209_Zahn_narluga_fisher_noise.sqlite3
11/22/2019 14:00:00,11/22/2019 15:00:00,2015,NOISE,144000,PAM20209_Zahn_narluga_fisher_noise.sqlite3
11/22/2019 15:00:00,11/22/2019 16:00:00,2016,NOISE,144000,PAM20209_Zahn_narluga_fisher_noise.sqlite3
11/22/2019 16:00:00,11/22/2019 17:00:00,2017,NOISE,144000,PAM20209_Zahn_narluga_fisher_noise.sqlite3
11/22/2019 17:00:00,11/22/2019 18:00:00,2018,NOISE,144000,PAM20209_Zahn_narluga_fisher_noise.sqlite3
12/2/2019 18:00:00,12/2/2019 19:00:00,2019,NOISE,144000,PAM20209_Zahn_narluga_fisher_noise.sqlite3
12/2/2019 19:00:00,12/2/2019 20:00:00,2020,NOISE,144000,PAM20209_Zahn_narluga_fisher_noise.sqlite3
12/2/2019 20:00:00,12/2/2019 21:00:00,2021,NOISE,144000,PAM20209_Zahn_narluga_fisher_noise.sqlite3
12/2/2019 21:00:00,12/2/2019 22:00:00,2022,NOISE,144000,PAM20209_Zahn_narluga_fisher_noise.sqlite3
12/2/2019 22:00:00,12/2/2019 23:00:00,2023,NOISE,144000,PAM20209_Zahn_narluga_fisher_noise.sqlite3
12/2/2019 23:00:00,12/3/2019 0:00:00,2024,NOISE,144000,PAM20209_Zahn_narluga_fisher_noise.sqlite3
12/19/2019 0:00:00,12/19/2019 1:00:00,2025,NOISE,144000,PAM20209_Zahn_narluga_fisher_noise.sqlite3
12/19/2019 1:00:00,12/19/2019 2:00:00,2026,NOISE,144000,PAM20209_Zahn_narluga_fisher_noise.sqlite3
12/19/2019 2:00:00,12/19/2019 3:00:00,2027,NOISE,144000,PAM20209_Zahn_narluga_fisher_noise.sqlite3
12/19/2019 3:00:00,12/19/2019 4:00:00,2028,NOISE,144000,PAM20209_Zahn_narluga_fisher_noise.sqlite3
12/19/2019 4:00:00,12/19/2019 5:00:00,2029,NOISE,144000,PAM20209_Zahn_narluga_fisher_noise.sqlite3
12/19/2019 5:00:00,12/19/2019 6:00:00,2030,NOISE,144000,PAM20209_Zahn_narluga_fisher_noise.sqlite3
