"eventId","species","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100","X101","X102","X103","X104","X105","X106","X107","X108","X109","X110","X111","X112","X113","X114","X115","X116","X117","X118","X119","X120","X121","X122","X123","X124","X125","X126","X127","X128"
"9","X085",-39.8959520129344,-35.4793382988884,-32.3457158867237,-31.7751548187135,-32.5784077939556,-33.2878747072121,-32.9132283362654,-33.5114770762627,-34.0520449311058,-34.5987275331754,-35.4086286103988,-36.0217482741814,-36.5279393733109,-36.8764505687213,-37.3619084897066,-38.0763685416074,-39.3157836565344,-40.4354978537857,-41.3267183271818,-42.1872669742501,-43.16181538589,-43.9756042118149,-44.3846333028823,-44.9647397052764,-45.6434527407749,-46.6570503545211,-47.5721025855199,-47.7355323141067,-48.4790949879181,-49.1659778887617,-49.5302311903173,-49.8006106136949,-50.13456703068,-50.2538108738447,-50.2962314655669,-50.2939231143081,-50.14070022879,-49.7122176486213,-49.4743614291563,-49.061472724149,-49.3420169561515,-49.7785219992331,-50.075740653357,-50.4304616937746,-50.5434727141284,-50.21590634336,-50.3304089714106,-50.6920236790587,-51.0976857353703,-51.354761301604,-51.1622154101528,-50.8310444593564,-50.9490185015127,-51.3049748098458,-51.3105862496572,-51.491508167422,-51.6254551703662,-51.8790731503532,-52.1887311751099,-52.6081893721863,-53.0074276059872,-53.2462919400999,-53.2497129142707,-53.7877685447823,-54.0595862139581,-54.1621685584271,-54.1624423489415,-54.0374108660636,-54.1084964665732,-54.0688515967558,-54.019966921662,-54.2862930678162,-54.6799485599357,-55.2609668203244,-55.4569195993353,-55.6626052398012,-56.0366005176552,-56.2861566514468,-56.0189017141924,-55.8491956556115,-56.228888751891,-56.8014339404723,-56.8594281560665,-56.7373935041293,-56.8172861337352,-57.175837956283,-57.3901589591306,-57.5181412142575,-57.6512036240095,-57.7757892085236,-57.9415378697468,-58.0356358145664,-58.1235301611888,-58.412496461984,-58.522210984928,-58.3780572321527,-58.8563290546084,-59.1276362081104,-58.9571994419207,-58.9176559379763,-59.0401205555383,-59.2333066898534,-59.4572057671296,-59.7474644292069,-60.1807808417406,-60.4678498842457,-60.9018069299579,-61.2819404585784,-61.5170922782476,-61.5549667531442,-61.768608160398,-61.7656704507629,-62.028159306319,-62.6107564918084,-63.1156540723232,-63.4165224565694,-63.3391946880415,-63.3514278773838,-63.8719605936966,-64.2496719873302,-64.5767167412267,-64.6376157507945,-64.5100425808891,-64.6089505460378,-64.7851774817105,-65.0577035911438,-65.0112014260642,-64.894890175605
"10","X085",-37.809756966156,-34.1629088583444,-31.3857112554363,-30.8830671529548,-31.426001860653,-31.5135766727087,-31.0603667977818,-31.0790572845089,-31.8764470887527,-33.0730189562554,-34.1414366271818,-34.9586361927029,-35.666032132457,-36.4072346389021,-37.2060999182562,-38.0682684774637,-38.8921399572509,-39.7412939331694,-40.6173172546271,-41.4221143275697,-42.1038906561354,-42.6991069513185,-43.2349214994364,-43.7337162364038,-44.2370599974314,-44.6423149575999,-45.0035576025866,-45.3093945414299,-45.535156715838,-45.640140362325,-45.6222021555852,-45.5264300914078,-45.3355709102846,-45.0648070858857,-44.7111528503297,-44.2138103567718,-43.5583150971869,-42.8669706226966,-42.2844512055748,-41.9548609145477,-41.9069097490677,-42.1125314016948,-42.4440413375183,-42.7352694313203,-42.9567024766931,-43.1091351617816,-43.1790664756721,-43.2277809177062,-43.3362286111041,-43.5063648400752,-43.6360376276837,-43.7558333881454,-43.8621831869228,-43.9551229678547,-44.0845790539107,-44.2386164970151,-44.4069963939264,-44.5477104257274,-44.675399269367,-44.7981489706884,-44.9120538929743,-45.0240959372192,-45.1119421841691,-45.1734537719027,-45.2352470199947,-45.2636602013882,-45.3061576781113,-45.3548672339194,-45.40748084268,-45.4806813646753,-45.5733043353467,-45.694398207657,-45.8033199830538,-45.9047710086312,-46.0259674495056,-46.1514874906607,-46.2511488233168,-46.3321159064697,-46.4198627307556,-46.4924638417962,-46.5744248184322,-46.659571235649,-46.7316379344792,-46.823591227538,-46.9194980658751,-46.9907508005136,-47.0942272053594,-47.1814269986088,-47.2300222884562,-47.3060864135403,-47.3810170345545,-47.4752430255084,-47.5626997074563,-47.679271853324,-47.8176325408951,-47.9410451470333,-48.0665048126914,-48.2054738873124,-48.3361208920474,-48.4864241688039,-48.6686384267323,-48.8652600331278,-49.0691815058317,-49.2538287338723,-49.4309733990555,-49.6141536709866,-49.8188989388683,-50.0330395873192,-50.2538071914327,-50.4897128545498,-50.7218941911048,-50.943269599501,-51.1782378502794,-51.4354334598962,-51.6891177753635,-51.9150939453111,-52.1626747418056,-52.4345740494282,-52.6935191555714,-52.9239179270908,-53.1177293056796,-53.3163662105313,-53.5260601691704,-53.7021828758024,-53.8540225935385,-53.9861373259584,-54.090845348697,-54.2116906350827
"11","X085",-39.2177254975984,-34.8974649810855,-32.1690820160551,-32.3257305188919,-32.800383563341,-33.3007389523421,-32.7387814921085,-33.6520917460892,-33.2494162152827,-33.7881745949466,-34.155407302533,-34.7476850036559,-35.1039298288627,-36.2758251599556,-37.4890184024241,-38.882049664317,-39.8419122482797,-40.4889338453863,-40.7934828800944,-42.3749051596529,-43.6135989228914,-43.2193723945592,-44.0244686134584,-45.1775806440426,-45.6199449878666,-45.7691480263808,-46.9214210422521,-47.0382017215453,-47.559160209284,-48.1832690660684,-48.4770763287657,-48.1042198140911,-47.2626639493068,-46.0163533174785,-44.2767888291958,-45.4194894326714,-48.5330753482566,-49.6486220488077,-49.9981707762279,-51.2042875823307,-51.557900311274,-51.3897219688332,-51.9342534413991,-52.8005497747303,-53.38866931643,-53.4369233218788,-54.4025424845021,-54.880669661971,-54.1822329354276,-54.4505105104273,-54.6829210491093,-55.5238659061842,-55.0886543136811,-54.7711901656824,-55.3426649965194,-55.9481104443391,-55.7084185658582,-55.7596814186947,-56.0137307863675,-55.442211382693,-56.0485684417205,-56.8992690994707,-57.1670386521448,-56.7971975810909,-56.9721297312684,-57.3458285467281,-58.0021319717001,-57.8191312589589,-58.2423376598134,-58.0115053816653,-58.0292509757372,-58.1125177992535,-59.1934610666326,-58.6208089878218,-58.549656953932,-58.6424078555738,-59.0436619436686,-59.1947820790504,-58.8190811758814,-59.0632870386325,-59.6667425957682,-59.3564419176273,-58.9981916293729,-58.9251791630086,-59.0699660660645,-59.0826610197127,-58.5556651703367,-58.0955671044462,-58.9439973061561,-59.281651335898,-59.490172806451,-59.77671549564,-59.8135356258299,-59.701546163427,-59.0282007591542,-59.348480085262,-59.9077826854636,-60.6486564338341,-60.5643252539428,-60.532287534066,-60.9368295677554,-61.0724594331645,-60.5703918526037,-60.8802967702827,-61.2158117502523,-61.3245692032359,-61.084719358315,-61.3318605442195,-62.2096712272432,-62.3625959854153,-62.0653863823245,-62.7539363047784,-63.3600035757086,-62.9649529147899,-63.1840340944522,-63.7831801303024,-63.7372014555451,-63.337317850258,-63.4710957264167,-63.5477622175097,-64.4373730806856,-64.7369864553337,-64.6818519619648,-64.9430105333567,-64.2785985375497,-63.6173367522154,-63.9029560451324,-64.9776916811829
"12","X085",-38.0711765792345,-34.0865111728551,-31.1557125620983,-30.8509935549161,-31.5565786259248,-32.1297298870292,-31.9972428354225,-32.0060513332303,-32.6271872219357,-33.5461499757273,-34.2797626717827,-35.0157261867314,-35.6592531861351,-36.3638949090551,-37.1729583878864,-38.0450191894953,-38.9526752977521,-39.8786410642316,-40.8387027819436,-41.6243366202578,-42.3559601121484,-43.080551125023,-43.829020058671,-44.5403356243648,-45.2495552672937,-45.8551537338479,-46.5099133262477,-47.1246002659682,-47.6251233048947,-48.0375323165935,-48.2969425639476,-48.4381615152754,-48.3959774578307,-48.2938944290004,-48.0516176811156,-47.4463340273872,-46.4837417181227,-45.529409213947,-44.8751065456754,-44.6096561331217,-44.6422935799559,-44.8736667414,-45.2143904556318,-45.5587328595459,-45.8789177011675,-46.1458413231552,-46.3293868551806,-46.4945127045743,-46.7017645389347,-46.9195506884563,-47.0452719220167,-47.2345899128677,-47.4500159829918,-47.6311241514507,-47.8115809489498,-47.9821871269203,-48.1415385951396,-48.3271646928619,-48.5351352988871,-48.6916618997688,-48.8414273087084,-49.0093445998385,-49.1904329097459,-49.324097252548,-49.4694070819577,-49.6105803345693,-49.745388178533,-49.9013655550682,-50.0279952285993,-50.1475072592761,-50.2790113873248,-50.3669134298546,-50.4413244952817,-50.5219611895025,-50.5696134854814,-50.6080050573586,-50.7106245532979,-50.8680376715858,-51.038234031928,-51.2193005181683,-51.3649127414785,-51.5002275887693,-51.6614383979764,-51.8391989337187,-51.9922244989133,-52.1306139023455,-52.2444481531204,-52.422228001192,-52.6405556074996,-52.8150734078079,-52.9488891753886,-53.1384269859185,-53.3195199042381,-53.543809787786,-53.7986559538316,-54.0467239328427,-54.2647337859973,-54.477861899676,-54.7437351936932,-55.0360636038775,-55.3151877526268,-55.5773204749829,-55.8286445383165,-56.1347184787338,-56.4302426128135,-56.7194520538819,-57.0221577878957,-57.3206002062919,-57.6078554946505,-57.9114928099622,-58.2704533611126,-58.6177561453882,-58.922056676396,-59.1869852782614,-59.5352101590404,-59.8716638711325,-60.2093743227591,-60.5242841697562,-60.8585573079468,-61.1538289980682,-61.4264094914243,-61.6967537088373,-61.9427628906937,-62.1834595221011,-62.3837349274011,-62.5259145245244,-62.6108674779736,-62.7179887323273
"13","X085",-37.0674394327568,-34.0421320241079,-31.6482498398513,-31.2866019949223,-31.4745969922945,-32.0010981294028,-32.0072083980486,-32.2884065787064,-33.0872016154598,-34.0381500396041,-34.833584123753,-35.6413154394582,-36.2195078617082,-36.7340002721591,-37.3825366278414,-38.1138677702591,-38.7596714887646,-39.4477128772879,-40.0288636795693,-40.6350399371306,-41.20825722566,-41.6408598234658,-42.1258407048103,-42.6008281066364,-42.9621545087549,-43.2683131360357,-43.6082019929021,-43.8946359041971,-44.2243184984863,-44.3432919605605,-44.3671678834285,-44.3746304899393,-44.3650921765707,-44.3289077921496,-44.2391987800498,-43.9293943280521,-43.4618453452569,-42.9429030601044,-42.6038691003213,-42.5701272790095,-42.6105700751602,-42.8466994580816,-43.0879684330266,-43.2160719237071,-43.1313314138634,-43.0497844621312,-43.1951724538291,-43.3458308199098,-43.3812636078172,-43.4299844766858,-43.6267241752359,-43.7309525482726,-43.7418402912072,-43.7529842365351,-43.7795580266685,-43.8792149253269,-43.9832454937575,-44.0879675253211,-44.1210764486565,-44.1677294764131,-44.2641063177573,-44.3014131427928,-44.3254886230118,-44.3660094699336,-44.3571991926117,-44.3602194314989,-44.3159396084928,-44.2214730110795,-44.1423524829768,-44.1528311314625,-44.191799052333,-44.3475190371079,-44.5709913747436,-44.8298107805151,-45.1090360601036,-45.3611648796025,-45.5775408128453,-45.6639545299455,-45.7141386772002,-45.6489911446565,-45.5610941727583,-45.5736164663747,-45.6172201563878,-45.7128111886813,-45.8412291108282,-45.941477784935,-45.9886536981223,-46.001394653859,-45.9223061987686,-45.8997465988279,-45.9567604131535,-46.0078419931996,-46.0351586196875,-46.1202919993792,-46.1675324578142,-46.178152859339,-46.1802302120228,-46.1819463997321,-46.1889693609312,-46.2104033433449,-46.2248827972734,-46.3104417167341,-46.404077532502,-46.5040118315065,-46.5752046659382,-46.6717373952267,-46.8000751765388,-46.9274134306326,-47.0014569204663,-47.091028655124,-47.1979661946893,-47.3091498170543,-47.4132128554305,-47.5523321586711,-47.661036840716,-47.7426660538492,-47.8477811689334,-47.9643959163674,-48.0977151362862,-48.2253608314483,-48.3650371503245,-48.5226809273294,-48.6624533012651,-48.728528253874,-48.7783338273348,-48.8255562402746,-48.8489542824117,-48.9525997247506
"17","X085",-37.4556826217823,-33.9325729931886,-30.2186197089856,-29.6120486058863,-30.6184390656397,-30.9602952530555,-31.2982638201964,-31.2264729654831,-31.1993696048852,-32.3066193119939,-32.673237340702,-33.0259224607304,-33.6879084003001,-34.4702108776903,-34.277790028886,-35.4057522577925,-36.6330643388053,-37.0335647962286,-37.9160490822644,-39.1291735022568,-40.0965282604737,-40.0512467052969,-41.3383232563945,-42.8645429377955,-43.5756318501766,-44.1941130776593,-44.7272471052587,-45.0242356069748,-44.7734920132806,-45.3321877436885,-45.8060261966009,-45.9705444638796,-46.254094497357,-46.5708813751363,-47.134221922063,-47.3061762157935,-47.6274669196344,-46.934797924777,-46.9192301510111,-47.5177427508553,-47.7204513912044,-48.1524541930536,-48.1318545700208,-47.9482077969381,-48.4051679397096,-48.87394424806,-49.2779731498142,-49.6040857558519,-50.1201122647325,-50.552486349109,-50.3811902630876,-50.6715809881837,-51.2240308881572,-50.8767459272849,-50.7794309618023,-50.8009482743178,-50.9981738888147,-51.7310136052963,-51.8853496675488,-51.3035423581194,-51.5566260343521,-51.6984229578653,-51.8569646906616,-51.7306510022928,-51.4891354366768,-51.6490550048157,-51.6425065960823,-51.2320025904388,-51.2459908817783,-51.3848767563625,-51.8505987628196,-52.454924803699,-52.7765895956447,-53.4147636939423,-53.820271797097,-53.5942456261563,-53.9093636725324,-53.9323499576866,-53.918249299641,-53.8783372678957,-54.447054423773,-54.7441313500513,-54.2630701102505,-54.2107294465289,-54.5795812327468,-54.7598355943803,-54.8109644915509,-55.336896864182,-54.6794170330776,-54.4913731954307,-55.0584780739364,-54.9282754468882,-55.1621981477573,-55.7102623195984,-55.5338903515906,-55.1070309220776,-55.2152477962992,-55.1394252498368,-55.6468325774538,-56.241905820624,-56.0868063625855,-56.3588232726752,-56.4681538034031,-56.6074812019075,-56.8438101386858,-56.9957661005196,-56.9787143919427,-57.3430329013609,-57.7954310615128,-57.9499483417291,-57.6538400702616,-57.3704154705422,-57.4525788529464,-57.8166472720073,-58.3144692110611,-58.4668010780756,-58.19410514135,-58.7669378919018,-59.4137781994193,-59.2499057610443,-59.315390779659,-59.6358738908902,-59.9281679529428,-59.9669757683097,-59.9612729096232,-59.7350373357348,-59.580057546273,-59.8150424694401
"36","X085",-38.2625789218421,-34.7088042077531,-32.1770519453228,-31.7696079287585,-32.4236658910435,-32.9803519586865,-32.2103482568504,-31.874217586698,-32.5375657994086,-33.8117351599757,-34.7672484960298,-35.0571996347377,-35.3265654089382,-35.6999054569219,-36.3673179618308,-37.0438333665849,-37.7691188004383,-38.5051603346433,-39.2333423804636,-39.9759018029169,-40.5674460776596,-41.117314154953,-41.4931183534549,-42.06124873446,-42.7725151408776,-43.3318568764635,-43.6780878018679,-44.2163913509946,-44.7668549336816,-45.1866466185786,-45.7496433425836,-45.7552505988003,-45.8655823522266,-45.9551951475228,-46.1543653137484,-46.4387227569365,-46.75706726853,-46.7160150760128,-45.9248593592581,-45.1527493732341,-44.9206106895012,-45.2451207580322,-45.7922462031794,-46.17850241953,-46.4020997416649,-46.5114609529732,-46.4557964839522,-46.2611645369548,-46.2651458572621,-46.374392689739,-46.478563677469,-46.6690940676729,-46.8980128287718,-47.0784220525778,-47.0188808500946,-47.0203496479919,-47.2284842238616,-47.3965183149912,-47.6258778104996,-47.7752567703352,-48.0277728787592,-48.1690499957795,-48.3686060939204,-48.4404789880993,-48.5718473301181,-48.6018586979973,-48.4882457667673,-48.5745524470903,-48.4960955834974,-48.3096412005948,-48.3409872927543,-48.3672218302549,-48.5510397311889,-48.8306192140265,-48.9154694806526,-48.9992492803791,-49.1916006023501,-49.2600360314306,-49.2831546309458,-49.3895469368501,-49.4536995381964,-49.5146491017931,-49.5622945118081,-49.7572072499188,-49.8750313089115,-49.8198751332842,-49.9306600527152,-50.1690916916235,-50.3851477660561,-50.3268503319891,-50.4133871277818,-50.3212180372951,-50.4237551468611,-50.5733653840011,-50.7244648378462,-50.8269308420888,-50.7758857102756,-50.8823662529132,-51.089531477275,-51.275549326432,-51.3357448904331,-51.4512389623427,-51.5468204207318,-51.8609880206706,-51.9833504023553,-52.074933806407,-52.253323183445,-52.3874799967134,-52.5752408433131,-52.8202951843329,-53.121796917147,-53.4683765452726,-53.77355111807,-54.0313963689104,-54.3858100967854,-54.6653737018228,-54.9047509630192,-55.0668769707283,-55.238352182665,-55.4789567979613,-55.6905742899861,-55.8578255182624,-56.1432651032912,-56.3425401069398,-56.3847422900072,-56.6005231065366,-56.8187635452024,-56.8385822055622
"67","X085",-35.5580430465538,-31.8621795355678,-28.742575966073,-27.682224738519,-27.7115987395512,-28.3397431293344,-28.8017444791285,-29.5463286571094,-30.535732125808,-31.4282799774588,-32.1766472573455,-32.7460032929618,-33.3771532608396,-34.1142013718681,-34.7233656806561,-35.276471159973,-35.9163408273798,-36.6726365688298,-37.4544308137144,-37.9703460002828,-38.2913839461168,-38.5752696079957,-38.8255954260646,-39.0818804787541,-39.4367371523958,-39.8438765494342,-40.1377997504972,-40.3526860969315,-40.4752034549815,-40.6223793574591,-40.7142734061235,-40.7311766220935,-40.727859436312,-40.6013781557319,-40.4451464195368,-40.3875164572002,-40.4723014933334,-40.677912488527,-40.7308098961914,-40.8499826272006,-40.9654453283726,-41.1379122557377,-41.3489811948429,-41.5480549395596,-41.7275815651865,-41.8797857224112,-42.042605135529,-42.2934371934969,-42.4640414064253,-42.7385162378702,-43.0038734165446,-43.2669161371691,-43.4725080850947,-43.6961983846232,-43.9828017919224,-44.1933431971189,-44.3973131491758,-44.6223918898852,-44.8342378002534,-45.0370339893675,-45.2156398211799,-45.4068679561466,-45.5734118424479,-45.6954589343236,-45.8548748585793,-46.0342335013322,-46.2032216678279,-46.4090895570042,-46.6101535011975,-46.8180780249991,-47.024935306642,-47.2446414103332,-47.4520142466946,-47.7553300403568,-48.0650908336499,-48.2601355117852,-48.4595343076967,-48.7039435442328,-48.8576936884395,-48.9724386006746,-49.0692955645292,-49.2124272922466,-49.3619492913204,-49.4454964847389,-49.5151391384816,-49.6225137309211,-49.7333199850652,-49.8459869737958,-49.9962291839843,-50.1457506627219,-50.2774664795381,-50.3923392303577,-50.571655888651,-50.7184713001985,-50.8298160190577,-51.0067774597364,-51.2007453704753,-51.346000479558,-51.4780802412956,-51.6374586442194,-51.7958950867664,-51.9129745351026,-52.0633154199514,-52.2394502605261,-52.4125337853828,-52.572705552328,-52.7750072898126,-53.0230133882016,-53.2158352797555,-53.4485721971477,-53.7390065090792,-54.0320643150864,-54.28156567725,-54.5050473755057,-54.7485690265078,-54.9704850795819,-55.2013834576072,-55.4375682433729,-55.6560326935897,-55.8226683044481,-56.0394023651428,-56.2615505841016,-56.4264790645502,-56.5554368679134,-56.6607746371003,-56.7703438749487,-56.8402313222559,-56.9221697963654
"68","X085",-35.5287809056008,-32.0192779760921,-29.2446290861879,-29.1675155480129,-28.2837339709095,-28.7469195211132,-28.8143194201709,-29.8901031333785,-31.0365069991416,-32.0530402390194,-32.6277199698617,-33.6169296261324,-35.1610954753895,-35.281047108554,-35.9471014154855,-36.8574285162931,-37.2091235468538,-37.1322179317161,-37.9324939789954,-38.7498170600367,-38.0778273765339,-38.5544153012762,-39.0490916085169,-39.7976929484123,-40.095928911362,-40.7337329584889,-41.5544250146063,-41.3231081711876,-41.6956232054416,-41.9698200376771,-41.4049335590144,-41.2498798896744,-42.065032989591,-42.0545326136962,-42.6651730282878,-42.6685313849377,-42.6032008352885,-42.0255377977751,-41.3952905254078,-41.4444055437669,-40.6195902433441,-41.2963548140988,-42.4120957516148,-42.7385587080692,-42.5621981462517,-42.2404758276847,-42.4854038842476,-43.238525638276,-43.7951131107096,-43.7332407082964,-43.1381845903133,-42.5863397172094,-42.7327311222635,-42.7779736453226,-43.125722522189,-43.5658350738457,-43.7151718235383,-43.4996833767405,-43.4290431120975,-43.3273502354748,-43.1142174267068,-43.4262752071584,-43.8440519027167,-44.1169854514978,-43.8432389802718,-43.6364903859311,-43.6199727713102,-43.8926672297605,-44.4406086925634,-44.7731157961083,-45.073796898499,-45.462152072781,-45.5547565455844,-45.5442388752064,-45.3466812930825,-45.4451369712843,-45.7021683368146,-45.8266492387107,-45.9754168075847,-45.9584759164568,-45.771574485459,-46.1721814204375,-46.557319465147,-46.5667013664406,-46.7638416431165,-47.0852126245904,-47.5969308755522,-47.8124490412728,-47.815794721615,-48.0203020262909,-48.3380413462583,-48.5277619580288,-48.6800486570284,-48.6253749100345,-48.7592399556085,-49.3788014627855,-49.5950031807438,-49.4158813408249,-49.8898340487197,-50.4244089170026,-50.4624459228611,-50.3551946318634,-50.627646401463,-50.8814579237166,-51.2010158169366,-51.5882994447365,-51.3757202823396,-51.3647002674302,-51.4293216971283,-51.9609045620009,-52.162000208581,-52.1258336830789,-52.2954334185717,-52.2949823079377,-52.4267355443212,-52.7219229577851,-53.0301869372207,-53.2706803896357,-53.3096019836827,-53.2947926542011,-53.4033596261738,-53.3489275315675,-53.2306116985155,-53.4379774086945,-53.6920962054769,-53.825942286145,-53.9337325797702,-53.9196653360763
"71","X085",-39.9454235808069,-34.8069451675859,-30.7200566852207,-29.4571438734066,-31.1327191752966,-32.155650612863,-31.9559940014229,-32.1787702764791,-33.2966606167585,-34.3201126462098,-34.1032358322977,-34.1561990884973,-34.5599326516131,-34.5123333997982,-34.6430279540316,-35.574024492527,-35.9535899208171,-36.7289963373127,-37.5168297568793,-37.9847370658135,-39.1782753087433,-40.3294530178809,-40.6076324808373,-40.6038196202654,-41.7338496135654,-42.4438705325852,-42.5285698282803,-42.8665340158801,-42.5476577875211,-41.8553135555437,-41.2865015666578,-40.4823068519935,-38.8288520489533,-37.7594334850407,-37.8660999551423,-38.2414997234869,-39.4463695532327,-40.6416459486709,-41.2425035930941,-41.8586553321664,-42.5642845389123,-43.5840703814208,-44.4068581560143,-45.4174815921753,-45.9867170641983,-46.186074495246,-46.1326004584313,-46.002875333023,-46.1753329028263,-46.5146759658284,-47.264153704947,-47.5891410586896,-47.9279511915707,-48.092756322906,-47.918684687873,-48.2177189028757,-49.1191547129273,-49.6049931286103,-49.7652726212389,-49.6197570974155,-49.3251998781896,-49.7060432519108,-50.2812800551266,-50.7235612097838,-49.9162927867336,-50.0829186748195,-50.1466218429541,-50.4739209337164,-50.8756691284168,-51.0816418661465,-51.8688758754408,-52.5886300614533,-52.0975565576313,-51.7126150681957,-52.4506796682069,-52.3450367382709,-52.2094554167428,-52.3944456023823,-52.1107324429394,-51.6527070909956,-52.0083796026264,-52.273077231906,-52.5318890202243,-53.0538938243937,-53.1390212818077,-52.9807279280541,-53.3519089942432,-53.6849706856384,-54.0233945612702,-53.8663487862146,-54.264917240214,-54.8413260871858,-54.7908506178119,-54.5886526738101,-54.5697478516785,-54.8027486290182,-55.3216010191167,-55.2999885262583,-55.065078264672,-55.7033593283832,-56.0510854072268,-55.8219205317682,-55.5759492455584,-55.9011351987234,-56.1802850701694,-56.9061484781865,-57.3095232247281,-57.7461548864695,-58.5402536009135,-58.8865139460994,-59.5051745189473,-60.1319634000348,-60.7443299997719,-61.250987315856,-60.9175426170213,-61.007580719099,-61.6862452013057,-61.9906972332962,-62.1069423805043,-62.434797536237,-62.904408126675,-62.9461815359709,-63.002412877242,-63.4196810450422,-63.5753226216891,-63.657862435549,-63.4786021505936,-63.6329453247008
