"eventId","species","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100","X101","X102","X103","X104","X105","X106","X107","X108","X109","X110","X111","X112","X113","X114","X115","X116","X117","X118","X119","X120","X121","X122","X123","X124","X125","X126","X127","X128"
"3290","X085",-83.8539328881637,-79.8145033115096,-76.4428836809082,-75.373960678502,-75.1430872741174,-76.0504502349538,-75.8453664349466,-75.653064330353,-76.5164200468585,-77.5947364367505,-79.0610088149849,-79.8297529333064,-80.5638771866523,-81.2474690310592,-82.0671494748538,-82.4734925853647,-83.3596042182682,-84.6100638511638,-85.2396761180833,-85.8090785002012,-86.5769436941849,-86.343742753196,-86.8764976601008,-87.444272185872,-88.2692200430482,-88.8479746751094,-89.2861309064345,-89.7307023231721,-90.244795927012,-91.0284972841891,-91.7922432006877,-91.7567026126702,-92.1762506115955,-92.6884250167006,-93.2468843476415,-93.7966651643027,-93.5464516111144,-93.4556269604282,-93.6339347499442,-94.315244909243,-94.6219258030142,-94.499509523063,-94.8306064777986,-95.0972272285782,-95.2762120245306,-95.7356142465077,-95.9655049550364,-96.1106450983767,-95.9738854122664,-96.2206459126345,-95.9005017646447,-95.5595623040545,-96.0730185746455,-96.2766768805644,-96.5622498222072,-96.8554259043849,-96.8791273420953,-96.8127534725521,-96.7056301935357,-96.3630163743863,-96.1103823393572,-96.6146093755052,-96.9128302073564,-96.5763858175759,-96.3495090064409,-97.1319561019428,-96.9846803337329,-97.5291001232694,-98.3050938097159,-98.396449281484,-98.9740179856584,-99.1110774506322,-98.8211632131163,-98.4105427694024,-98.941289672871,-99.3026018739427,-99.4269636211904,-99.1379652985401,-99.6099629787241,-99.7425790531136,-99.5178227692764,-99.0264096428348,-99.2668626325949,-99.2154139576709,-99.5729489179701,-100.058819258364,-100.313490800138,-99.9034635035233,-99.6868584439977,-100.063132196646,-100.555277149068,-100.880642430797,-100.00729997489,-99.6009225654268,-99.940080274912,-100.099319023664,-100.52903790768,-100.661795064151,-100.937062091977,-100.948423455338,-100.896024487591,-100.747768335238,-100.659740929106,-100.806137907643,-101.310644429413,-101.309470287892,-101.650875330178,-101.392485894606,-101.719517319199,-102.05879441943,-101.86876572443,-102.12016691901,-102.409245213717,-102.753728376851,-102.624227604372,-102.378796314283,-102.603535409277,-102.965282033254,-103.139899268552,-103.422024355025,-103.433717926552,-103.211658834661,-103.288464175235,-103.273224719479,-103.508997842784,-103.808006358275,-103.508368114745,-103.392861041283
"3292","X085",-82.6939477114037,-79.3626954519766,-76.5347863923358,-75.4815348144048,-76.8716095655853,-76.7605785743228,-76.071907728749,-76.6317318604845,-76.6819857206751,-78.8011197322921,-79.7044623007269,-79.1465055103265,-79.5494114344901,-80.2262835225582,-80.6399502871515,-82.0525331228755,-83.2875123227371,-83.2671459489562,-83.5401490587429,-84.924498423891,-86.4706340063936,-86.9949999857141,-86.6140714801281,-87.1901848717829,-86.5166915130182,-87.6856816192275,-89.053817884459,-89.032402978683,-89.0692156744127,-90.4169598294034,-90.6583235820997,-91.3528068736092,-91.3875589852492,-90.5908075136072,-90.5634811870293,-91.458252731704,-91.7803332344845,-92.1856576793199,-93.2412069437057,-93.5209436784254,-93.428889189001,-93.7584928604267,-93.9911708330136,-95.055432243929,-95.4495842012982,-94.4908140161468,-94.2151137369347,-94.8388852425108,-96.0575031259092,-96.4537776550629,-96.1805513898106,-96.0471086350633,-96.662754699761,-97.4069538695016,-97.7438119662049,-97.017883399749,-97.3793805214622,-97.6123392261443,-96.9881599937446,-96.0992992599817,-96.1561473838123,-96.6995048903097,-97.891664397668,-98.3101993665455,-98.4259191077472,-98.6424223262048,-98.4574560706817,-98.8536294781565,-98.7899245357571,-99.6615698581971,-99.7375557285693,-99.5470617642877,-99.6302075592614,-100.356687626334,-100.380766457877,-100.579626087689,-100.550395900509,-100.97412731207,-100.484814685551,-101.356659058758,-101.977094546504,-102.024010832297,-101.504993882655,-101.249183561111,-101.008776456317,-100.999510303099,-101.618405160086,-101.367465904936,-101.548333202212,-101.897570123654,-102.170841832866,-102.656078758605,-101.963742468997,-101.528781433773,-102.063666308912,-102.423826793563,-102.687079335085,-102.941022389277,-102.602357186414,-102.052176486149,-101.809350076289,-102.592054224873,-103.425448834778,-103.289185541638,-103.334474696732,-104.117935475344,-104.670821525215,-104.221119970284,-104.147020853964,-104.202588147298,-103.895176072961,-104.285020624248,-104.785869635827,-104.97792631481,-104.81409118435,-105.128710062353,-105.445505278791,-105.449692667323,-105.71345675229,-106.069467056069,-106.080072860073,-106.073509074749,-106.006181508667,-105.891706294053,-106.284619376652,-106.376338162169,-106.208237330468,-106.076123875048
"3293","X085",-82.7861517498568,-78.9232310355498,-75.7425860608208,-74.4841885383323,-75.7939783928724,-76.2107186796417,-76.3159161593865,-75.3261607546265,-76.0694871780235,-76.526217967569,-77.3499369088847,-77.4043137665363,-77.8685822941537,-79.0829998749878,-79.8944842755964,-81.3873011538067,-82.3149600793709,-82.5947872537013,-83.325294117603,-83.6872477098183,-85.3125800337569,-84.7092888558531,-85.9114205248326,-86.9102071878691,-87.7105280662721,-87.8384820241622,-87.8759327758555,-88.1353502245664,-88.3542846814207,-88.2614204205392,-88.721776118921,-88.5405884071837,-88.7131860969572,-88.7714573480752,-88.1692375177241,-88.1887438435206,-89.5061155836982,-89.0054945121121,-88.6992143353022,-89.0120153186271,-90.1561089230572,-90.4366697974209,-90.3294070294554,-90.4207757039868,-90.456506431959,-90.1869187473567,-89.8733758651629,-90.0257065078956,-89.6085043162409,-89.4158805553321,-89.843738948386,-90.231010191577,-90.5036981494727,-90.7282325814576,-90.5972364440561,-90.8053875575019,-91.4449823852797,-91.7488980148332,-91.2330582822525,-91.1414064643558,-92.6628335712453,-93.2720959679773,-93.8899998135581,-94.4727912406299,-94.3253474389305,-93.8196120657461,-93.4778113781596,-93.6358019367402,-93.5445731511049,-93.789373400737,-94.1743245108012,-94.2072732949763,-94.5411325211617,-94.8897656659621,-95.0456167868302,-95.4063580605834,-94.9044727712857,-95.1032634132904,-95.1998830958915,-94.7632468455948,-94.6480895565969,-95.162134157897,-95.4909321480203,-95.821359835834,-96.2305517545232,-96.7521142616844,-96.7575334348214,-96.7683213196881,-96.7905855242244,-95.8289070957049,-95.8813084686639,-96.7387491539474,-97.5722266628621,-97.9435120481687,-98.0981530180483,-98.1097570167013,-97.9595110846783,-97.7261912633284,-97.9912625664678,-98.8258349932891,-99.2711525087905,-99.2066413404714,-98.9812556337064,-99.0963705396159,-100.022308542193,-100.430755595263,-100.589687648901,-100.58116554946,-100.720125936265,-101.732971874847,-101.789895815569,-101.953779313199,-102.438227425842,-102.928723260177,-103.120151478092,-103.175288825102,-103.250176288349,-103.293646080313,-103.162732288561,-103.704653357915,-103.889960326993,-104.484303632977,-105.174837207369,-105.431789957987,-105.941203328892,-106.190801941727,-106.040192249022,-106.477306963101
"3298","X085",-82.9345681634153,-79.8899640796732,-76.9452002099489,-75.6231815378184,-75.5867215204294,-75.8639133076724,-75.9659005962028,-76.1609882144672,-76.2007046851745,-77.3480413294404,-78.4642943559791,-79.0430484393925,-79.6890798602052,-80.8162823107967,-81.455376115717,-82.5440199054589,-83.7715889008775,-84.2430934335363,-84.9436752980996,-85.9555868453072,-86.4117019641507,-86.5288037942434,-87.1807486931996,-87.6824529219892,-88.306226296735,-89.1552598602549,-89.5793919246962,-90.6153337760359,-91.5984484106427,-92.1863462873969,-92.4373959466639,-92.1019022938163,-93.0646867872704,-93.4078851201159,-93.6947285206694,-94.1260462756996,-94.3144286707684,-94.246957001384,-94.7851252389504,-95.1330230990974,-94.9715653001175,-94.8817945323586,-95.1028060045093,-95.9333708581814,-96.5172063766044,-96.6817659220862,-96.5779081123936,-96.4569964514136,-96.8555909750283,-97.2506601588867,-97.862440786949,-98.0367304955131,-98.1352249533989,-98.2412144508473,-97.9755893306168,-97.9775407125834,-97.9561202600417,-98.396482084547,-98.8330584178954,-98.6113777371041,-98.8804375895712,-99.3308583934034,-99.7133381008787,-99.8635280287564,-100.413680027572,-100.564088421143,-100.490639590969,-100.729031578106,-101.160641438269,-101.440191407301,-101.641569664913,-101.130087863552,-101.105153391476,-101.40366440253,-101.305718753461,-101.052866579626,-101.269106585114,-101.378358932102,-101.242363919633,-101.343273418421,-101.565518876798,-101.743405639152,-102.073394300026,-102.575003978462,-102.999566928955,-103.216980440209,-102.955102022871,-102.754818468966,-102.774477060655,-103.54267561536,-103.848225342669,-103.887921461048,-104.042962541093,-103.828339888145,-103.652199227347,-104.198355136249,-104.466311611896,-104.70926037624,-105.072178428467,-105.449381102474,-105.141784603619,-105.388825978211,-105.801000228696,-105.656734377608,-105.646570183819,-105.506576047052,-106.122169817722,-106.577448453843,-106.942992609581,-107.478954233858,-107.325621257045,-107.232861713355,-107.437606200102,-107.681447210716,-107.813356328703,-108.157754448054,-108.376578977415,-108.548906757387,-108.922061829387,-109.320168312475,-109.495177264187,-109.396139700947,-109.467026824609,-109.729560854856,-109.608573667368,-109.655354139363,-109.737120967451,-110.075162289639
"3300","X085",-85.074382385738,-81.2737646515941,-77.8664847720782,-76.5066551340356,-76.1076072849387,-77.0849829803329,-77.2877480258582,-77.3997631603915,-77.4173346818942,-79.5880687355842,-80.0135026736341,-80.5053369639577,-81.6078597848602,-82.4505468072308,-83.3816170694162,-84.2716158169639,-84.7379997652054,-85.4738445537687,-86.428380112864,-87.1362621795114,-88.336991923579,-89.3780330933897,-89.448820914642,-90.2645744740676,-90.9694128959,-91.0929220872429,-91.570223738634,-92.1978003312235,-92.3618241938241,-92.7708698159349,-92.6096637989723,-93.710861279734,-94.2815262721114,-94.4858067202078,-94.8807213572971,-95.1599334788773,-95.4220632066788,-95.7499927607796,-96.3201723038948,-95.8105886605864,-95.3763072730229,-95.4125719215214,-95.8031147005418,-96.3425161856856,-96.4983465236599,-96.5558751956832,-96.9032716047519,-97.3835700695711,-97.4750625131133,-97.5328863448826,-97.9772562265503,-98.275059730345,-98.2535905203516,-98.1343386754271,-98.2618765622217,-98.3439062888326,-98.2705500588103,-98.5338834249469,-98.8549127820182,-99.2436370356885,-99.8871585736823,-99.77693488405,-100.028664790773,-99.9118509174914,-99.8730075442722,-100.522501332551,-100.685085497719,-100.925849272677,-101.205729962576,-101.62039202605,-101.886976014841,-102.02737557193,-102.206151310633,-102.344791839358,-102.205803123409,-102.315793137611,-102.257275320242,-102.751527627857,-103.164683690655,-103.098000206909,-102.804432290437,-103.046168983465,-103.751624168562,-103.824288329899,-103.38345345175,-103.468583962663,-103.585319272127,-103.650749901,-103.686603356054,-103.893093565726,-104.557305640154,-105.050483195904,-104.840869492064,-104.295915985381,-104.265968123979,-104.710950908066,-105.078984383694,-105.272948388558,-105.301338215251,-105.485094984485,-105.804681810261,-106.059545505221,-105.819946765646,-106.11830459494,-106.530864918265,-106.619385806286,-106.748128544715,-106.970170947443,-107.067223175608,-107.363927996617,-107.263223125992,-107.352878616196,-107.780671764222,-108.345908089702,-108.38995473446,-108.364934373995,-108.47363297068,-108.678059978161,-108.831784486312,-108.873380348079,-109.171721635114,-109.373605555581,-109.499372340616,-109.484138903556,-109.445572182153,-109.632274249063,-109.694553101944,-109.892457014251
"3330","X085",-85.8679835625903,-81.9789209536489,-78.190420874276,-77.1140033086601,-77.59378270205,-77.533185403406,-77.233440768135,-76.9840572007481,-77.5036205810141,-78.178776067842,-78.804102130509,-78.9543962352198,-79.1964123962544,-79.9545137395129,-80.8159428453558,-81.4045872936718,-81.873868172635,-82.3188730419869,-83.252161319009,-84.2241588147089,-84.729526124742,-84.9661231743521,-85.6953380402022,-86.1304148031705,-86.4540557276579,-87.6241477417449,-88.2353743690479,-88.6296188519301,-89.3994375163811,-90.0958657086924,-90.6956329545924,-90.7297596265317,-91.1553437725571,-90.8328635319725,-90.6349339623173,-90.7761321564857,-90.6816103514786,-91.44926989257,-91.7690400967223,-91.0481499311322,-90.7177746041119,-90.7390636881097,-91.1910832541455,-92.0148548916708,-92.4502193726957,-92.3210673434543,-92.6463809983683,-93.0512980542199,-92.8052361495176,-92.6188481145004,-92.4130307307674,-92.5835570126072,-92.7871236043717,-93.1567748797395,-94.0810799942939,-95.0871973978826,-95.3389082813486,-95.1101185784007,-94.7858894152641,-94.6399463463375,-94.5832624199667,-95.1307383850271,-95.5178412621996,-95.7555923797304,-96.2112229379454,-96.7894901440825,-96.9609689124017,-97.189923908219,-97.9825082247856,-97.5748369850497,-95.2813196528656,-93.3761388353421,-93.4847083279427,-95.1093101803949,-96.2379168908452,-96.8974745602082,-97.2037552280307,-96.6233038389974,-96.306501508735,-96.0074897907004,-95.338555508745,-94.5881371778987,-93.9380489211847,-93.5379859072704,-93.1306510290498,-92.6947043246542,-92.7637222993591,-93.0496970517333,-93.2035333968768,-93.3406065793495,-93.5475983833541,-93.9512845856516,-94.2353540412039,-94.2752062416648,-94.7316698396674,-95.2426627316437,-95.4790954317902,-95.5741771419989,-95.8880783323512,-96.1557548608117,-96.4195295802006,-96.8087528506801,-97.037348848931,-97.1166274325743,-97.2319593078111,-97.4582329980944,-97.9015525981529,-98.3353069228792,-98.6031886330124,-99.0064124452035,-99.4439055211208,-99.7866188985648,-100.043363950799,-100.420771562788,-100.772391482729,-100.778609007076,-101.069302811361,-101.641277289003,-102.259349408988,-102.917683825359,-103.469178566315,-104.05753391959,-104.784111914175,-105.461677093467,-105.819333900153,-106.009918787953,-106.28835909903,-106.460407488148
"3335","X085",-84.8708076239173,-81.2611706177835,-78.3078955226386,-77.1140520422267,-76.3803122971317,-75.7563367365817,-75.3738684837792,-76.0704350799855,-77.179482616883,-78.7551946352615,-79.7343999781933,-80.2735020031068,-80.3069166670136,-80.3002925682121,-81.168534769481,-82.4091203601619,-83.0202250105968,-83.7777276625728,-84.8355778655759,-85.6917150377325,-85.8946431945834,-86.2616414631483,-86.511657807328,-87.0689018077123,-87.5944059665181,-87.9693238889522,-88.7597404748095,-89.5511006588556,-90.5774220097399,-90.7077525587642,-90.9006148831725,-91.016416702439,-91.3572320801764,-91.5517166816431,-91.1052265621199,-91.1094958061437,-90.8720785004729,-91.0803509470501,-91.0555529919714,-91.4793693943477,-91.5585879493523,-91.7965497915982,-92.4707659253422,-93.002692572834,-92.8487677211796,-92.688082652415,-92.1695776877678,-92.0742102181471,-92.1865671740125,-92.017785702672,-92.6530728876654,-93.5340667302621,-93.5855517220792,-93.0876057103048,-92.7174800032703,-92.6236035638291,-93.0618490721332,-93.4434306992101,-93.7625318062425,-93.6272591048129,-93.5713686670916,-93.6176483538757,-93.6403694458753,-93.5111476548842,-93.6720772977824,-93.8135533554377,-93.6867034672502,-93.7655308909349,-93.7374351283615,-93.8195631345515,-93.6578793202609,-93.4980808603122,-93.5641221451809,-93.8547681186844,-93.9946583424578,-94.3374807096004,-94.7393311647529,-94.8693141048582,-94.8042651914435,-94.0679526006166,-93.7513576903299,-94.1034132443474,-94.2128684575352,-94.3218156707264,-95.3197562780022,-95.8435990429391,-95.9881902781033,-96.3610382750485,-96.1959801181282,-95.8954696482804,-96.0902484722784,-96.3090890454343,-96.3622607308636,-96.4562383044596,-96.3370943438593,-96.4698763763374,-96.7952348560745,-96.8434259700772,-96.9368036004348,-97.5755795029149,-97.9901512516661,-98.1660540278484,-98.2301212934799,-98.3626046886467,-98.8271648672071,-99.328422090384,-99.6413540385725,-99.892556136609,-100.205673236562,-100.204857475848,-100.411394796057,-100.740165810297,-100.760860534958,-100.808982875692,-101.11631120624,-101.65542329119,-101.794042159336,-102.237497090135,-102.673664954863,-102.88299425727,-103.074049112483,-103.271904242914,-103.513874207168,-103.598485232066,-103.914167689347,-104.267981780056,-104.475604145235,-104.602511066249
"3381","X085",-86.915942831453,-82.7907864957087,-79.896374154429,-79.3379056948758,-79.9082436169952,-80.7776347929269,-80.1980607643796,-80.4784868742865,-80.7718978568173,-80.9083866234872,-81.5019837626658,-82.1677389532108,-83.2329757809249,-83.9847562091153,-84.7600632532569,-85.4236715621876,-86.3459439419205,-87.3366079499795,-88.1486868667661,-89.0661723455188,-89.7685474700653,-90.2878934983056,-90.5249459382547,-91.0321447189857,-91.5052872745836,-92.1280598459185,-92.720326793026,-92.6622197186897,-92.6308537809473,-92.7781049656214,-92.7995142702159,-92.8218326646253,-92.456726016649,-91.4549289380519,-89.9203111413333,-88.3098990057489,-87.5605807107797,-88.122276806684,-89.2184628312287,-90.0713415922742,-90.8864131241263,-91.6518097397063,-91.6557716819848,-91.1270136109573,-90.6523479745756,-90.1381717845638,-89.5306028634077,-89.1527116651335,-88.9540380226661,-89.0339279205906,-89.6179986464731,-90.1421144809693,-90.5978311544295,-91.4214614381113,-92.081886851682,-92.6545927566598,-93.1997052011437,-93.6112461275395,-93.5169214863023,-92.9483965615855,-92.3609438933858,-92.4206640497134,-93.4498960758268,-94.7595422113685,-95.3065181881277,-95.4386626402004,-95.8550977138915,-96.0574174449704,-96.0197911501137,-95.7137407650835,-95.3617910971352,-95.4406574507017,-95.5601042641096,-95.3671758428539,-94.2749857665613,-93.2869800286714,-93.4003036222232,-94.5007484460592,-96.0517798951305,-97.100166821673,-97.4595934419291,-97.4236413249231,-97.5449018494074,-97.8163948854649,-97.8021774843847,-97.7798670663833,-97.9327302334934,-97.8610946187798,-97.7109582171292,-97.5949141953488,-97.5418421074994,-97.7523347190655,-97.9444421449282,-98.3433092391939,-98.825470624144,-99.1800671636285,-99.7036638806328,-100.196074005206,-100.861379238067,-101.201076376536,-101.135589349884,-101.089661879318,-101.127191682077,-101.315934427602,-101.617359454477,-101.875330719957,-101.870050444482,-102.027037272717,-102.271601906219,-102.350538136607,-102.504034736241,-102.766437405587,-102.874580381193,-103.230440730046,-103.577827049782,-104.079055339712,-104.512368198721,-104.846233897625,-105.054829961238,-105.020736242813,-105.188510888378,-105.592686434999,-105.874748459233,-105.936954630234,-106.151462155084,-106.322420957204,-106.552454460565,-106.742252411135
"3437","X085",-81.916907757135,-78.4143245312058,-75.8862435657547,-74.4107336186606,-74.2733915568282,-75.5868588874691,-74.8327550246933,-74.9542803315982,-75.8304855420311,-76.3530558947491,-77.0549635595345,-77.8329376417613,-79.0665777052256,-79.3250389766763,-79.8957284392887,-80.4244500784869,-81.4772478230467,-82.7769171253873,-84.126260054718,-84.4447513235733,-84.6360745343209,-85.6101305504253,-86.4933384245213,-87.1411048540509,-88.2539442616891,-88.0816185750323,-88.5274734908884,-89.3282901557753,-90.0697914337174,-90.3628156711837,-91.305138220627,-91.708163873824,-92.2158627200103,-91.8881462321986,-92.6346880049709,-93.7540979569687,-93.6912131696863,-93.7665131821784,-93.5157362376066,-94.0289082382071,-94.5520749692659,-94.4119605911609,-94.7557766993519,-95.3430725595348,-95.6862266248396,-95.9787033009273,-95.8092589686586,-96.2443713038781,-96.6671675080155,-96.6089050338567,-97.178374193868,-97.8083418283505,-97.5327803342766,-97.9200354613092,-98.676621921002,-98.9846193471618,-99.3859800684886,-99.5715982982857,-99.1078143060485,-99.0064813332907,-98.9125396793808,-99.1681743622805,-99.0728542674294,-99.0713738435658,-99.3205975663634,-99.9392972459815,-100.100373214747,-100.22165266587,-100.497457974125,-100.584702465205,-100.967529593147,-101.068597137202,-101.250929672934,-101.438290554573,-101.262514196543,-101.328673816606,-101.298337882896,-101.618704654086,-102.029647705162,-102.165961624423,-102.269326166194,-102.53687885401,-102.484147877883,-102.187731788602,-102.621790772201,-102.798830361621,-102.497855207553,-102.250192439677,-102.893350927161,-103.004917906131,-103.157552276862,-102.648313331495,-102.799272470543,-102.996131227133,-103.245295263345,-102.903861071702,-102.718000278183,-103.18326212374,-103.534778188856,-103.477705303002,-103.676944540931,-104.154929511304,-103.865248135665,-103.875207707689,-104.300728029496,-104.642659722886,-104.532856128059,-104.586271454917,-105.043141198969,-104.943414747332,-104.641806357038,-105.01422580544,-105.050771384184,-104.901575521206,-105.121705201412,-105.551999264685,-105.95576538993,-106.110029274052,-106.420455647035,-106.456361004266,-106.44593734814,-106.549258119715,-106.627971810559,-106.643751785881,-106.883754100608,-106.840731512138,-106.680793846991,-106.752301416316
"3459","X085",-84.9765224858119,-81.2098934312657,-77.5721821145468,-76.5481679354812,-75.5170246390477,-75.6552014678784,-75.3662025673683,-76.0244400366343,-76.6001666871605,-77.1757414816357,-77.8244728087783,-79.2325108021943,-80.1007039547289,-80.3991464729458,-80.5213023940149,-81.5444447573356,-82.163486788441,-83.0432103892744,-84.0050371895011,-84.4754940118637,-84.8897902000017,-85.5375280965307,-86.5189664140471,-86.7610935969743,-87.145921040354,-87.6547025609105,-88.5807258846651,-89.0026876774425,-89.086396182165,-89.2078214065623,-90.3605500435017,-90.5358861626747,-91.1745990107452,-91.7112449862896,-92.5196921562366,-92.9074474585392,-92.9666502966468,-93.2012095966119,-93.0473127774133,-93.1138916106807,-93.3851247784985,-93.9690801594363,-94.7056794263412,-95.0316106433417,-95.1245637209729,-95.8789868280884,-96.0503740107048,-96.2767671018399,-96.8758508083751,-97.2564745463807,-97.310616819624,-96.605139854224,-96.4367654095208,-96.8432010229704,-96.9779348728166,-96.8705509168804,-97.4637075330947,-98.2144927878695,-97.9758531328476,-97.9569256349827,-98.0511910835421,-98.3173155214018,-98.2721492950238,-98.3738461791947,-98.7229924354935,-98.2644459969233,-99.1400625779591,-99.7160752440576,-99.6673649623253,-99.5306492060618,-99.4401147339792,-100.02297569653,-99.8001798647882,-99.7743916330336,-100.081383919409,-100.699158706367,-100.918701481111,-100.57365216233,-100.156634484184,-100.614116513439,-101.151617103966,-100.793775601155,-100.754169541648,-100.989893055882,-101.651719767887,-102.319818902225,-102.792452349327,-102.739573719632,-102.685553108138,-102.247841229362,-102.737312250087,-103.091067735457,-102.478397651711,-102.175725754836,-102.693242180083,-103.584794027843,-104.359658364659,-104.026272656359,-103.963910341841,-104.102228423124,-103.965182590373,-103.704839596858,-103.85026986188,-104.356873753078,-104.682941283525,-104.519088660041,-104.691973622198,-105.381891806288,-105.440668941463,-105.201238714006,-105.751055997873,-105.766722479207,-105.745105540214,-105.955414291476,-106.211356346518,-106.458362948572,-107.0390085185,-107.390585818858,-107.149976503184,-107.060518785038,-107.525985323158,-107.921636171973,-107.949638682699,-107.909268097389,-107.930227144134,-108.034405602505,-108.145113383752,-108.174324549237
